t1,t2,label,fname,prev_word,prev_word_start,prev_word_end,next_word,next_word_start,next_word_end,sentence
0.0,0.09,,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,sentence_start,sentence_start,sentence_start,cigaija,0.09,0.92,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
0.09,0.92,cigaija,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,,0.0,0.09,,0.92,0.99,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
0.92,0.99,,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,cigaija,0.09,0.92,kija,0.99,1.32,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
0.99,1.32,kija,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,,0.92,0.99,kirunga,1.32,1.95,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
1.32,1.95,kirunga,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,kija,0.99,1.32,,1.95,2.75,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
1.95,2.75,,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,kirunga,1.32,1.95,qjappari,2.75,3.14,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
2.75,3.14,qjappari,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,,1.95,2.75,unu,3.14,3.31,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
3.14,3.31,unu,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,qjappari,2.75,3.14,munu,3.31,4.06,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
3.31,4.06,munu,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,unu,3.14,3.31,,4.06,4.14,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
4.06,4.14,,YO0010c_yoneshiro_europestory_20130424/aligned/66.TextGrid,munu,3.31,4.06,qbakudan,4.14,4.71,cigaija kija kirunga qjappari unu munu qbakudan utusutukajo
