Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
253852,255245,nsai wata=na,1,nsai watana
256945,259075,gandu ki wataru=na,2,gandu ki wataruna
309198,311391,naga=nki hai-n=sa=kaja=je,3,naganki hainsakajaje
408586,410206,<sueko>=ndiru ndu=do,7,qsuekondiru ndudo
430082,430881,mairihama,8,mairihama
498579,501479,duudin ti turasi wari=jo,9,duudin ti turasi warijo
594217,596657,tandi duudin ttami turasi wari=jo,11,tandi duudin ttami turasi warijo
620496,622483,gandu ki waru=na,12,gandu ki waruna
636678,640865,o gandu ki bun=do,13,o gandu ki bundo
655254,658148,nda <namai>=ja nu=ndi=ba ndu kaja=jee,14,nda qnamaija nundiba ndu kajajee
723893,726393,guburi turasi wari=jo,15,guburi turasi warijo
792110,794603,hima turasi wai=ti hugarassa=je,16,hima turasi waiti hugarassaje
823304,827164,nda=ja nma=nu tuba airu=nga,18,ndaja nmanu tuba airunga
827212,830493,nma=nu tuba airu aaru=nga,19,nmanu tuba airu aarunga
934933,939260,u=ja nun=di=ba <nan=tte> nun=di=ba kku=nga,24,uja nundiba qnantte nundiba kkunga
939448,940233,kku,25,kku
968788,970401,nun=di=ba tti waru=nga,26,nundiba tti warunga
997344,998924,nun=di=ndu <imi>=ja,27,nundindu qimija
1014367,1018687,nun=di=ndu <imi>=ba aaru=nga aiwaru=nga,28,nundindu qimiba aarunga aiwarunga
1065486,1066246,nda,30,nda
1067958,1069925,nda nun=di=du ndi waru=nga,31,nda nundidu ndi warunga
1135111,1136397,kanu ttu=ja,32,kanu ttuja
1161118,1163138,unu ttu=ja nun=di ndi bu=kaja=je,33,unu ttuja nundi ndi bukajaje
1206544,1208531,ndi=ja nun=di=ba ndib u=nga,35,ndija nundiba ndib unga
1262640,1266140,unu ttu-nta=ja nun=di=ba ndi bu=nga,36,unu ttuntaja nundiba ndi bunga
1310602,1312309,unu ttu=ja ta=ja,37,unu ttuja taja
1333365,1335465,ta=ba aru=kaja=je,38,taba arukajaje
1341911,1344871,unu ttu=ja ta=ba ai aru=kaja=je,39,unu ttuja taba ai arukajaje
1400514,1402147,u=ja nu=kaja=je,40,uja nukajaje
