Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
21047,21447,k-u-n,1,kun
98664,99986,tabi=nki hir-u-n,5,tabinki hirun
111279,112254,kkar-ir-u-n,6,kkarirun
123518,124213,kka-ni-nu-n,7,kkaninun
191060,191960,kum-i bur-a-nu,9,kumi buranu
247746,248801,mat-i=du bur-u,12,matidu buru
267318,267876,minun,14,minun
283859,285144,unni=nu ttu=ja,15,unninu ttuja
288699,289939,kunni=nu ttu=ja,16,kunninu ttuja
302350,302938,kutuba,17,kutuba
308549,309909,mut-i hir-u-n=do,18,muti hirundo
332202,332957,kaci,20,kaci
371290,372740,minuga agami,22,minuga agami
432381,433056,nn-u-n,26,nnun
441581,442381,nn-a-nu-n,27,nnanun
458154,459419,nnari=du ts-u,28,nnaridu tsu
475540,476805,kundugur-i=du bur-u,29,kunduguridu buru
491860,492960,kundugur-ir-u,30,kunduguriru
554176,554986,tu-nd-i hir-i,32,tundi hiri
579959,581764,atsar-u tta ujasi war-i,33,atsaru tta ujasi wari
606346,611220,atsa=darunggara nai ujasi wa-n=na,34,atsadarunggara nai ujasi wanna
718571,720489,tin bara-sa=du a-n=su=ja,38,tin barasadu ansuja
839426,840639,ka-i=ndi hir-i=jo,40,kaindi hirijo
854746,855866,misija=nki hir-i=jo,41,misijanki hirijo
896165,897732,misija=nki war-i=jo,42,misijanki warijo
933092,934765,misija=nki war-a-nu=na,43,misijanki waranuna
1025742,1027349,ka-i=ndi hi-n=na=jo,46,kaindi hinnajo
1029576,1032149,ami=du hu-i bur-u=nggara ka-i=ndi hi-n=na=jo,47,amidu hui burunggara kaindi hinnajo
1048119,1050992,ata=du h-i maci ar-a-nu=na,48,atadu hi maci aranuna
1163423,1164750,kais-i hir-i=jo,51,kaisi hirijo
1255488,1257895,madi dannai=du bur-u-n=gara,53,madi dannaidu burungara
1273163,1275356,madi dannai=du bur-u-n=gara,55,madi dannaidu burungara
1326512,1327912,ibitati mat-i=jo,57,ibitati matijo
1347640,1349686,madi dannai=du bur-u-n=gara,58,madi dannaidu burungara
1359213,1360773,nai da=nki hi-n=na=jo,60,nai danki hinnajo
1411975,1415975,baga-ru=ta maasiku tabi=nki hir-i=jo,64,bagaruta maasiku tabinki hirijo
1439091,1440917,nai=ja din mi-nu-n=gara,65,naija din minungara
1450673,1453779,nai=ja din mi-nu-n=gara tabi=nki hi-n=na=jo,66,naija din minungara tabinki hinnajo
