Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
16205,18985,nai=gara nai=gara hadimi=ndagi=jo,4,naigara naigara hadimindagijo
45505,47875,<jukkuri>=du ki waru=na,5,qjukkuridu ki waruna
94551,99761,durii-duri=du ki bun=su=ja<=to iu=kedo>,8,duriiduridu ki bunsujaqto qiukedo
281535,285055,durii-duri ki wari=jo durii-duri,12,duriiduri ki warijo duriiduri
292405,295055,durii-duri ki wari=jo,13,duriiduri ki warijo
300950,302870,durii-duri ki bun=suja,14,duriiduri ki bunsuja
320790,323060,durii-duri ki=du kirariru,15,duriiduri kidu kirariru
326655,329715,durii-duri ki=du kirariru,16,duriiduri kidu kirariru
342185,342825,cima,17,cima
345145,345875,cima,18,cima
349740,352141,hai=nu cima=tu hai-bata=nu,19,hainu cimatu haibatanu
356810,358880,hai=nu cima <kuukoo=tte>,20,hainu cima qkuukootte
379405,381385,hai=nu cima <kuukoo=da>,22,hainu cima qkuukooda
394965,395935,cima<=to iu>,24,cimaqto qiu
543511,547961,<jasai> ka=ndi hiru<=to=ka> <niku>ka=ndi hiru,33,qjasai kandi hiruqtoka qnikukandi hiru
550587,551627,kkurun,34,kkurun
657417,660137,nkaru=ndiru munu n nkaru,39,nkarundiru munu n nkaru
666427,667657,nkaru ndiru,41,nkaru ndiru
668442,669412,nkaru,42,nkaru
671187,672317,nkaru ndiru,43,nkaru ndiru
691056,693326,nkaru=ndi=du isi buru=do<=to=ka=jo>,45,nkarundidu isi burudoqtokajo
695191,697541,nkan=do nkan=do,46,nkando nkando
698586,701026,kari suta=ba nkan=do,47,kari sutaba nkando
701276,703806,(kukarui?) suta=ba nkan=do<=tu>,48,kukarui sutaba nkandoqtu
816661,818341,nai=du bagan=suja,60,naidu bagansuja
821281,823281,nai=du bagan=suja,61,naidu bagansuja
868606,869666,ndu=na,65,nduna
900776,902336,mati<=to=ga iu=sa>,68,matiqtoga qiusa
937121,940961,wa (matitiru?) kkanai buru<=to=wa iu=kedo>,75,wa matitiru kkanai buruqtowa qiukedo
941431,942391,mati,76,mati
979121,979691,tui,77,tui
980396,980916,tui,78,tui
995136,997866,turi=nu <niku> turi=nu <niku>,79,turinu qniku turinu qniku
1002357,1004077,tui<=to ano toki=ni=wa>,80,tuiqto qano qtokiniwa
1005017,1006507,tui=nu <niku> tui,81,tuinu qniku tui
