Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
8780,9965,xxx
9965,11175,xxx
13280,14330,xxx
16205,18985,nai=gara nai=gara hadimi=ndagi=jo
45505,47875,<jukkuri>=du ki waru=na
65796,67246,durii-duri
68951,70491,durii-duri=ndi
94551,99761,durii-duri=du ki bun=su=ja<=to iu=kedo>
107504,110923,xxx
253390,256030,xxx
278070,279820,durii-duri
281535,285055,durii-duri ki wari=jo durii-duri
292405,295055,durii-duri ki wari=jo
300950,302870,durii-duri ki bun=suja
320790,323060,durii-duri ki=du kirariru
326655,329715,durii-duri ki=du kirariru
342185,342825,cima
345145,345875,cima
349740,352141,hai=nu cima=tu hai-bata=nu
356810,358880,hai=nu cima <kuukoo=tte>
364575,366215,xxx
379405,381385,hai=nu cima <kuukoo=da>
390575,392775,xxx
394965,395935,cima<=to iu>
402370,403380,xxx
405095,405805,xxx
419330,420650,xxx
421920,423310,xxx
424705,426175,xxx
426450,427670,xxx
431760,432860,xxx
467780,471970,xxx
543511,547961,<jasai> ka=ndi hiru<=to=ka> <niku>ka=ndi hiru
550587,551627,kkurun
630907,631727,dui
632667,634457,xxx
635312,636062,xxx
636067,637827,xxx
657417,660137,nkaru=ndiru munu n nkaru
662977,664397,xxx
666427,667657,nkaru ndiru
668442,669412,nkaru
671187,672317,nkaru ndiru
687696,690016,xxx
691056,693326,nkaru=ndi=du isi buru=do<=to=ka=jo>
695191,697541,nkan=do nkan=do
698586,701026,kari suta=ba nkan=do
701276,703806,(kukarui?) suta=ba nkan=do<=tu>
715661,716591,xxx
717836,718436,uci
720106,721386,uci=ja jabirun
723606,725296,xxx
740521,742291,xxx
746466,749146,xxx
750686,752496,xxx
772001,773371,xxx
784306,788836,xxx
791031,793311,xxx
812531,814731,xxx
816661,818341,nai=du bagan=suja
821281,823281,nai=du bagan=suja
844001,845731,xxx
850911,852371,xxx
861441,863451,xxx
868606,869666,ndu=na
881336,882306,xxx
897681,900331,xxx
900776,902336,mati<=to=ga iu=sa>
903196,904276,xxx
904806,905966,xxx
916206,917476,<buta=ja> wa
922951,927211,xxx
929711,930451,xxx
933961,935941,xxx
937121,940961,wa (matitiru?) kkanai buru<=to=wa iu=kedo>
941431,942391,mati
979121,979691,tui
980396,980916,tui
995136,997866,turi=nu <niku> turi=nu <niku>
1002357,1004077,tui<=to ano toki=ni=wa>
1005017,1006507,tui=nu <niku> tui
1006772,1008132,xxx
1008482,1010042,uci=nu <niku>
1010952,1012422,uci=nu <niku>
1014357,1015837,nma=nu <niku>
1019807,1020737,xxx
1022262,1023872,xxx
1025957,1027527,xxx
1032643,1034273,xxx
1038278,1039538,ndu=do
1050948,1053058,xxx
1053073,1057823,xxx
1059858,1060888,xxx
1064453,1065623,xxx
1068218,1070488,u=ja nma=do u=ja maju=do
1070548,1072438,xxx
1072573,1073783,xxx
1073908,1075938,xxx
1076193,1077243,xxx
1079798,1081428,xxx
1086913,1088413,xxx
1093343,1095093,xxx
1095798,1098388,xxx
1099613,1102543,xxx
1112578,1115328,xxx
1115783,1117063,munui<=ttara>
1117843,1120423,xxx
1120993,1122313,xxx
1134693,1136493,narai=du kirariru
1140243,1141623,ttami wari=jo<=to=ka>
1143563,1149443,dunan-kutuba naru=ndi=du isi bu=nggara ttami wari=jo ttami wari=jo<=to=ka>
1158733,1161763,dunan-kutuba naru=ndi=du umui buru <hustuu=wa>
1162028,1163860,naru=ndi=du umui buru<=ttara>
1166250,1168950,ttami wari<=to iu=no=wa me-ue=ni>
1169320,1172670,dunan-kutuba ttami turasi wari=jo ttami wari=joo
1205325,1209625,unu ttu=ja anu=nki dunan munui ttami turasi waru=do
1215499,1217439,ttami turasi waru=do
1221989,1223939,ttami turasi wataru=do
1224644,1225614,xxx
1241189,1245869,ttamirun=do ttami turan=do ttami warun=do
1254309,1255859,ttami warun=do
1257489,1258939,ttami bun=do
1262164,1264484,<osiete iru toki=wa> ttami bun=do
1273934,1275544,naran=do
1277689,1279089,naran=do
1279159,1281439,dunan-kutuba naran=do
1285929,1287829,n naratan=do
1292785,1295145,naratan=do dunan-kutuba
1300265,1303195,anu=ja dunan-kutuba naratan=do
1310200,1311710,naratan=do
1322215,1322985,xxx
1334310,1336200,din mugru=ndi
1339255,1340415,mugiru=ndi
1343075,1343955,mugiru
1344375,1346365,din mugirun <kasegu=to>
1346570,1347930,din mugirun
1363700,1365950,<kasegu=ttara> din mugirun
1369385,1373205,mugiru=ndi=du isi buru<=to=ka> din mugjan=do
1383505,1385485,din mugjan=do<=to ui=no=wa kakokee>
1389465,1390465,xxx
1391305,1392215,sikama
1397625,1398845,mikirun
1400155,1401335,xxx
1403085,1405125,sikama mikiru=ndi=du isi buru
1411815,1413025,xxx
1419135,1420415,baci=du kiru
1422095,1423445,baci=du kiru
1439660,1441620,baci=du buru=nga
1444660,1446060,baci=du buru
1449230,1451770,baci=du buru<=to onasi imi=ga tsukau=ne>
1451930,1453180,baci=du buru
1463135,1465545,baci=du buru<=to ittara>
1466010,1468500,xxx
1468795,1471555,baci=du kiru<=to ittara>
1472015,1475425,xxx
1479610,1482470,baci=du kiru baci=du buru
1498380,1499770,kama=nki
1502775,1503915,kama=nki
1506155,1507725,kama=nki
1511740,1513780,hi=du buru hi=du buru
1519600,1522040,kama=nki icin hi=du buru
1523420,1529640,kama=nki ici=n kama=nki ici=n hi=du buru kama=nki
1536330,1540050,kama=nki ici=n hi=du buru
1542960,1544310,ici=n hi=du buru
1545345,1547215,kama=nki ici=n hi=du buru
1560440,1561210,ici=n
1574245,1575035,kuma
1579470,1580150,kuma
1583680,1584890,kuma kama=nki
1590975,1592225,irai=du buru
1600720,1602300,xxx
1606480,1609150,irai=du buru<=to iu=no=ga kako=sa=ne>
1609975,1611075,xxx
1612295,1613315,xxx
1613755,1615495,xxx
1615585,1618485,xxx
1633115,1634145,mannaga
1637310,1638990,mannaga=du nai buru
1647270,1649790,<eega>=du nni=ndi hitaru
1652250,1653600,nni=ndi hitaru
1654455,1656725,<eega>=du nni=ndi hitaru
1658750,1660950,nni=ndi nni=ndi
1665802,1666962,nni=ndi
1689622,1693192,durii-duri <ziban> kitaru=ndi
1706897,1707817,cima=nki
1711927,1715427,durii-duri ki busata=ba <ano toki=wa=ne>
1721747,1723937,durii-duri ki busata=ba
1725562,1728592,cima=nki iti=ti suru=do (i) hitaru=do
1734377,1738667,durii-duri ki busa=bi cima=nki hiru=do
1754982,1759082,durii-duri ki busata=ba cima=nki hitaru=do
1764482,1767812,ki busata=ba=du ki busata=ba=du
1769577,1773937,durii-duri ki busata=ba=du cima=nki hitaru=do
1789907,1794537,durii-duri ki busata=ba=du cima=nki hitaru=do
1807932,1810112,nma=nki sutaru=do<=to=wa iu=kedo>
1819192,1823312,durii-duri ki busata=ba=du cima=nki sutaru=do
1855412,1859172,udi=ndi unaga=nki unaga=nki hitaru=do
1870792,1872622,xxx
1875757,1878157,xxx
1890297,1891997,xxx
1893667,1895367,dui magasi=ndi
1902977,1905317,dui magasi=ndi hi=du kirariru
1912767,1914017,dui
1915601,1918501,dui=nu munu kai=ndi<=de=wa kore=wa>
1923581,1927501,dui=nu munu kai=ndi maci=ja=nki hitaru=do
1936871,1938211,xxx
1939121,1940061,kai=ndi
1941031,1943211,n maci-ja=nki hitaru=do
1959187,1961337,iciba=gara=du kai suru=do
1962372,1964602,iciba=gara=du kai suru=do
1976237,1978967,u=ja iciba=gara=du kai suru=do
1979612,1982422,u=ja iciba=gara=du kai suru=do
1993287,1993857,uja
2011132,2012872,uja=du nkai=ndi
2019382,2022432,uja=du nkai=ndi <kuukoo>=nki hitaru=do
2045767,2046947,uci=du
2049257,2052077,uci=du kkanai buru=nggara
2052257,2055977,uci=du nni=ndi sudati=ndi<=to kore=wa iwanai=sa>
2059037,2062587,uci=du kkanai bu=nggara uci=du nni=ndi
2070039,2071279,nni=ndi<=to>
2072799,2074569,nni=ndi<=to=ga iu=kara=ne>
2076454,2078424,m nni=ndi hitaru=do
2078889,2081349,uci=du nni=ndi hitaru=do<=to=ga iu=sa=ne>
2083629,2086449,uci=du nni=ndi mati=nggi hitaru=do
2093109,2094539,uci=du kanai buru
2097925,2099985,kkanai buru kkanai
2127665,2128935,xxx
2130710,2137100,dunan-munui=du narai=ndi <jonesiro-san> da=nki hi buru
2148525,2153975,xxx
2159190,2159890,anu=ja
2162950,2169530,anu=ja dunan-munui narai=ndi=du <jonesiro-san> da=nki hi buru=do
2171872,2174750,narai=ndi=du hi buru=do<=to>
2190356,2193872,xxx
2202889,2204678,narai=ndi=du
2209006,2211103,narai=ndi=du sutaru=do
2212213,2214660,narai=ndi=du sutaru=do
2270372,2274936,mugiru=ndi din=du mugiru=ndi sikama=du miki buru
2289884,2304175,xxx
2311010,2314136,mugi=ndi mugi=ndi<=to>
2317150,2322320,xxx
2322485,2324835,din=du mugiru=ndi isi buru=do<=to=ka>
2326690,2328980,din=du mugi=ndi hi buru=do
2329295,2330265,mugi=ndi
2337990,2340310,mugiru=ndi<=tte iuttara koko=de>
2341170,2342780,mugiru=ndi isi buru
2353625,2355275,sikama=du miki buru
2367610,2368860,xxx
2373255,2374645,xxx
2378920,2380350,xxx
2381495,2382675,xxx
2410271,2411701,xxx
2412836,2414266,xxx
2415621,2416951,xxx
