Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
54155,58475,kanu ttu=nu hanaburu=ja maisan=suja,7,kanu ttunu hanaburuja maisansuja
60215,61565,maisan=suja,8,maisansuja
75625,76545,maisan,10,maisan
113115,115125,nnari tsun tsun,11,nnari tsun tsun
137900,138790,kanan,13,kanan
164845,165425,ki,14,ki
224055,225495,nni nni,19,nni nni
235685,236675,cimuti,20,cimuti
247380,248310,mai-bara,21,maibara
255925,256865,tsu-bara,22,tsubara
258435,260185,mai-bara tsu-bara,23,maibara tsubara
274500,276830,namai namai,24,namai namai
280755,281715,namai,25,namai
284475,286735,unu ttu=nu na=ja nu=ndi=ja,26,unu ttunu naja nundija
288945,293095,nda namai nu=ndi=ba ndu=nga<=to=wa iu> namai,27,nda namai nundiba ndungaqtowa qiu namai
304610,305280,nan,28,nan
306655,307315,nan,29,nan
353305,354665,din muti ko,35,din muti ko
356115,357755,din muti ko<=tte iu=sa=ne>,36,din muti koqtte qiusane
362695,363895,din muti ko,37,din muti ko
366395,368385,din din muti ko,38,din din muti ko
368980,370250,din muti ko,39,din muti ko
401600,406840,din muti ko <o=ga agare o-kane motte koi ne> din muti ko,42,din muti ko qoga qagare qokane qmotte qkoi qne din muti ko
408210,409690,din muti ko,43,din muti ko
409740,412060,din din muti ko<=te iu=sa>,44,din din muti koqte qiusa
426220,427810,din muti ko <soo soo>,45,din muti ko qsoo qsoo
451330,453080,(nda) din muti ku=jo,47,nda din muti kujo
454385,456225,din muti ku=jo,48,din muti kujo
458805,461895,din muti ku=jo<=te iu=to=ka> din muti ko,49,din muti kujoqte qiutoka din muti ko
466651,470407,nma=nki uiri=ti din muti ku=jo din,50,nmanki uiriti din muti kujo din
477382,478473,din muti ko,52,din muti ko
478690,482745,din muti si=ni din din muti si=ni,53,din muti sini din din muti sini
511749,515718,din muti sini<=to=wa iu=sa> nda din muti ku=jo,54,din muti siniqtowa qiusa nda din muti kujo
521666,524234,din muti sini<=to iu=no=to>,55,din muti siniqto qiunoto
537675,540740,din muti ku=na<=to koo sagete iu=wake>,56,din muti kunaqto qkoo qsagete qiuwake
581907,584533,ki tsun=do tsun=do<=to iu>,58,ki tsundo tsundoqto qiu
586995,588106,ki tsun=do,59,ki tsundo
592743,594473,<are> nnari tsun=do,60,qare nnari tsundo
610757,613586,nai=gara tsu nnari,61,naigara tsu nnari
615203,616120,nnari,62,nnari
623588,627325,nai=gara ki tsun=do <are=wa> ki tsun=do,63,naigara ki tsundo qarewa ki tsundo
637149,639283,nai=gara tsu ki=do,64,naigara tsu kido
657295,659903,nai=gara tsu nnari=do,65,naigara tsu nnarido
663678,669529,nai=gara tsu ki=do tsu,66,naigara tsu kido tsu
685460,686331,tsu,67,tsu
690020,691227,tsu nnari=do,68,tsu nnarido
694302,696677,ci=du kiru=do tsun=do,69,cidu kirudo tsundo
709577,710658,u=ja nai=gara,70,uja naigara
711758,714327,tsu tsu ki=do,71,tsu tsu kido
771829,776716,unu nnari ci-ta=ja duttu=ndi=du umariru,76,unu nnari citaja duttundidu umariru
811191,816897,unu ki ci-ta=ja minaga=nga abja-gu narun,79,unu ki citaja minaganga abjagu narun
819596,823970,minaga=nga (ja) minaga=nga abja-gu narun,80,minaganga ja minaganga abjagu narun
826302,827190,minaga,81,minaga
869530,870786,tsun=do,83,tsundo
876723,878095,tsun=do,84,tsundo
878548,882247,u=ja tsu=ndi=du isi bu=do<=to=ka>,85,uja tsundidu isi budoqtoka
898347,900432,tsu=ndi=du isi buru=do<=to=ga iu>,86,tsundidu isi burudoqtoga qiu
918076,920557,unu nnari ci-ta=ja duttu=ndi=du umarirun,87,unu nnari citaja duttundidu umarirun
930246,932699,unu nnari ci-ta=ja,88,unu nnari citaja
936860,938890,unu nnari ci-ta=ja,90,unu nnari citaja
939825,942055,kanu ttu=nki=du nni buru<=to=ka>,91,kanu ttunkidu nni buruqtoka
945350,947770,ci-ta=ja unu nnari ci-ta=ja,92,citaja unu nnari citaja
957500,959210,ci-ta=ja<=tte=ga aru=ne>,93,citajaqttega qarune
975290,981257,ttu kurusi=ngasi=ja <keesatsu>=nga kacimi=du kirun,94,ttu kurusingasija qkeesatsunga kacimidu kirun
983792,985652,ttu kurusi=ngasi=ja,95,ttu kurusingasija
987532,992852,ttu kurusi=ngasi=ja <keesatsu>=nki kacimi=du kirariru,96,ttu kurusingasija qkeesatsunki kacimidu kirariru
995752,997492,kacimi=du kirariru,97,kacimidu kirariru
1025762,1030462,tigami kati-ta=ja ugui turan=do,98,tigami katitaja ugui turando
1033702,1035992,tigami kati-ta=ja ugui turan=do,99,tigami katitaja ugui turando
1070162,1074772,haja-gu ugi-ta=ja <hi=no de> nnarirun=do,102,hajagu ugitaja qhino qde nnarirundo
1079117,1080617,nnarirun=do,103,nnarirundo
1096407,1099197,nai=gara <hun>,104,naigara qhun
1110877,1113877,nai=gara sunguti dumun=do,107,naigara sunguti dumundo
1166477,1169717,nai=gara sunguti dumun,114,naigara sunguti dumun
1198760,1201320,nai=gara=du sunguti dumu,117,naigaradu sunguti dumu
1227168,1229608,nai=gara=du sunguti dumu,119,naigaradu sunguti dumu
1304028,1305428,ici=nu kadin,125,icinu kadin
1307078,1308538,ici=nu kadin,126,icinu kadin
1314118,1319028,ici=nu=ka=di=n sunguti=du dumi buru unu ttu=ja,128,icinukadin sungutidu dumi buru unu ttuja
1410516,1415344,ici=n sunguti=du kanu ttu=ja ici=n sunguti=du dumi buru<=to=ka>,134,icin sungutidu kanu ttuja icin sungutidu dumi buruqtoka
1480847,1483190,nai sunguti=du dumi buru,139,nai sungutidu dumi buru
1483417,1485730,nai sunguti=du dumi buru,140,nai sungutidu dumi buru
1506151,1507956,nai sunguti=du,141,nai sungutidu
1584109,1585531,e ttumuti<=to>,148,e ttumutiqto
1587617,1589578,ttumuti <hun>=du,149,ttumuti qhundu
1590277,1593573,ttumuti sunguti dumitan=do<=to=wa iu=wake=sa=ne>,150,ttumuti sunguti dumitandoqtowa qiuwakesane
1641829,1645750,ttumuti sunguti=du dumitaru <kore=wa ieru>,156,ttumuti sungutidu dumitaru qkorewa qieru
1675406,1680195,ttumuti sunguti dumu=ndi=du isi buru<=to iu>,158,ttumuti sunguti dumundidu isi buruqto qiu
1712633,1715757,ttumuti sunguti=du dumitaru=do<=de=mo ii=sa=ne>,161,ttumuti sungutidu dumitarudoqdemo qiisane
1741456,1743847,ttumuti sunguti=du dumjan=do,164,ttumuti sungutidu dumjando
1753589,1756401,ttumuti (s) sunguti=du dumjaru,165,ttumuti s sungutidu dumjaru
1756807,1760089,ttumuti sunguti=du dumjaru=do,166,ttumuti sungutidu dumjarudo
1769964,1773050,ttumuti sunguti=du dumitaru=do,168,ttumuti sungutidu dumitarudo
1786302,1790333,(sungu-) ttumuti sunguti=du dumjan=do,169,sungu ttumuti sungutidu dumjando
1805075,1810833,ttumuti (sungu-) sunguti=du dumitaru=do<=to iu=no=ga>,171,ttumuti sungu sungutidu dumitarudoqto qiunoga
1856750,1862590,unu <hun> ttumuti (du-) ttumuti dumjan=do,176,unu qhun ttumuti du ttumuti dumjando
1863430,1865330,ttumuti dumjan=do,177,ttumuti dumjando
1875920,1877160,ttumuti=du,178,ttumutidu
1878290,1883360,u=ja ttumuti=du dumjan=do dumjaru=do dumjaru=do,179,uja ttumutidu dumjando dumjarudo dumjarudo
1893245,1896285,unu sunguti ttumuti=du dumjaru=do,180,unu sunguti ttumutidu dumjarudo
1919235,1923965,kudu=ja sunguti,181,kuduja sunguti
1926890,1929220,kudu=ja sunguti,182,kuduja sunguti
1935155,1938205,kutusi=ja dumanu,184,kutusija dumanu
1944740,1945530,kudu,185,kudu
1948755,1950045,kudu=ja (sungu-),186,kuduja sungu
1950603,1953943,kudu=ja sunguti,187,kuduja sunguti
1957773,1963093,kudu=ja (su-) sunguti maasiku dumita=nga,188,kuduja su sunguti maasiku dumitanga
1965733,1969093,kutuci=ja dumanun,189,kutucija dumanun
1974803,1977223,kutuci=ja dumi buranun<=to=ka>,190,kutucija dumi buranunqtoka
2019075,2024275,kudu=ja sunguti maasiku dumita=nga,194,kuduja sunguti maasiku dumitanga
2031445,2037985,kudu=ja sunguti dumi (bu-) dumi buta=nga a dumi buta=nga,195,kuduja sunguti dumi bu dumi butanga a dumi butanga
2039645,2042765,kutuci=ja <amari> dumi buranun,196,kutucija qamari dumi buranun
2077405,2082615,naidagati umi sunguti dumi butaru ttu=ja nma=nki hju=kaja,197,naidagati umi sunguti dumi butaru ttuja nmanki hjukaja
2103740,2109970,nai u=ni sunguti dumi butaru ttu=ja nma=nki hju=ndi bagaranu,198,nai uni sunguti dumi butaru ttuja nmanki hjundi bagaranu
2111745,2115385,dumi butaru ttu=ja nma=nki hju=ndi bagaranu,199,dumi butaru ttuja nmanki hjundi bagaranu
2147820,2149150,naidagati,202,naidagati
2156385,2157885,naidagati a,203,naidagati a
2189251,2191761,dumi butaru ttu=ja<=ga ii=na>,204,dumi butaru ttujaqga qiina
2195066,2198256,nai=dagati sunguti dumi butaru ttu=ja,205,naidagati sunguti dumi butaru ttuja
2202670,2206520,dumitaru ttu=ja n dumi butaru ttu=ja,206,dumitaru ttuja n dumi butaru ttuja
2220075,2227345,dumjaru ttu=ja nai=dagati sunguti dumjaru ttu=ja buranun,207,dumjaru ttuja naidagati sunguti dumjaru ttuja buranun
2238400,2239840,nai=dagati,208,naidagati
2241780,2243440,nai=dagati,209,naidagati
2245570,2248080,sunguti dumi butaru ttu=ja,210,sunguti dumi butaru ttuja
2249545,2255555,nai=dagati sunguti dumi butaru ttu=ja nai=ja buranun,211,naidagati sunguti dumi butaru ttuja naija buranun
2260940,2263290,dumi butaru ttu=ja,212,dumi butaru ttuja
2267575,2272675,nai=dagati n sunguti dumjaru ttu=ja,213,naidagati n sunguti dumjaru ttuja
2275325,2277525,dumjaru ttu=ja nai buranun=do,214,dumjaru ttuja nai buranundo
2285335,2293135,nai=dagati sunguti dumi butaru ttu=ja u=mi=ja buranun,215,naidagati sunguti dumi butaru ttuja umija buranun
2353840,2362180,kudu=ja a sunguti maasiku dumja=nga kutuci=ja dumanun,218,kuduja a sunguti maasiku dumjanga kutucija dumanun
2390634,2392444,ma dumjan=do,219,ma dumjando
2400149,2402439,u=mi=ja ma dumjan=do=tu,220,umija ma dumjandotu
2405624,2407414,ma dumjan=do,221,ma dumjando
2427365,2434325,unu sunguti=ja ma dumjan=do<=made dattara ii=sa=ne>,225,unu sungutija ma dumjandoqmade qdattara qiisane
2434883,2438943,unu sunguti=ja unu sunguti=ja ma dumjan=do,226,unu sungutija unu sungutija ma dumjando
2457393,2459273,nai dumi=du buru=do,228,nai dumidu burudo
2461033,2462623,nai dumi=du buru=do,229,nai dumidu burudo
