Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
120865,127366,hata=nki m dama=nki iti=ti (n tti) timunu sai suta=ja,1,hatanki m damanki ititi n tti timunu sai sutaja
127800,133940,ndi=nki maru munu ni hamiru=ndi nta=ba unu angami-nta=ja da=gara tundi hju=ru atingai=du,2,ndinki maru munu ni hamirundi ntaba unu angamintaja dagara tundi hjuru atingaidu
134285,138166,da=gara tundiru munu dama=nki=ja hiranu=ti umi,3,dagara tundiru munu damankija hiranuti umi
139380,147611,aci-taburu=ndi taburu=du a=nga ata=ba umi udi anb-i-ru bur-u=tasi u=nu angamiti-nta=nga ma,4,acitaburundi taburudu anga ataba umi udi anbiru burutasi unu angamitintanga ma
148651,157866,ja ubuda=nga nda=ja ba-nta=ja=ju ttui=ja h-i=du maci=ndi n-ta=ba u-mi busa k-i=ti hai,5,ja ubudanga ndaja bantajaju ttuija hidu macindi ntaba umi busa kiti hai
158251,163738,utu nn-i=ti busa busa nd-u=tasi naguda=nga=du naguda<=ttara ni-ban-mee=dakara>,6,utu nniti busa busa ndutasi nagudangadu nagudaqttara qnibanmeedakara
164045,166635,naguda=nga mag-i-ta=ba naguda=bagai,7,nagudanga magitaba nagudabagai
169290,176500,dama=nki tu-i su-ta mata u=nu nugur-u ttu=nu utuda-nta=ja u-mi anb-i bu-ru=ta nd-i=ti dusabi=nki na-ta=ba,8,damanki tui suta mata unu nuguru ttunu utudantaja umi anbi buruta nditi dusabinki nataba
177650,182205,naguda=nga tu-i su-ta=ba timunu sa-i su-ta=ba da=nki s-i=ti,9,nagudanga tui sutaba timunu sai sutaba danki siti
182391,187555,uni=ndu=nga=du naguda=ja timunu nd-u nama-ki=du c-i=ti da=nki mut-i su-ru atingai,10,unindungadu nagudaja timunu ndu namakidu citi danki muti suru atingai
187870,199630,n-ta=ba ija=nga ja ija abuta=nga n o abuta abuta mut-i s-u-n=do u=ni n-ta=ba u=mi abuta=ja dugu-i wa-i=ti,11,ntaba ijanga ja ija abutanga n o abuta abuta muti sundo uni ntaba umi abutaja dugui waiti
200980,209855,haa=tu maihuna angami-nta ata-ttumuti u=si ma-ru-munu n-i h-amir-u-n=gara=jo ndiru nd-ja=nga=du ttumuti ug-ir=ja u=ja nama-ki a-ta=ba,12,haatu maihuna angaminta atattumuti usi marumunu ni hamirungarajo ndiru ndjangadu ttumuti ugirja uja namaki ataba
211440,219345,timunu (mun n) muja-ninu=ti ina-munu=ndi umu-i=ti na u=nu angami-ti-nta=ja u=ni=ba ir-u-munu=ja=ndi umu-i=ndatana abuta=ja=ma,13,timunu mun n mujaninuti inamunundi umuiti na unu angamitintaja uniba irumunujandi umuindatana abutajama
220516,229456,bad-i=ja b-u=nga=du u=nu ki uni hadimiti dama=gara tu-i su-ru munu=du ar-u-n=gara nd-i=ti u=nga naga=nu ttu-n=ja,14,badija bungadu unu ki uni hadimiti damagara tui suru munudu arungara nditi unga naganu ttunja
230916,235400,abuta=nga tu-i=ti kkuru=nu naga=nki ici=n ir-i=ti bu-ta-ru=atingai,15,abutanga tuiti kkurunu naganki icin iriti butaruatingai
238090,242150,abuta=ja ibi mat-i=ti hana=nki na-i=ti=ma,16,abutaja ibi matiti hananki naitima
242966,249235,tur-ita=ba angamiti buuru dus-i is-i=ti abuta=ja ma nai=gara ma,17,turitaba angamiti buuru dusi isiti abutaja ma naigara ma
249486,254146,<genki> minu-n=gara nd-i maihuna mar-ir-i=jo nd-i=ti,18,qgenki minungara ndi maihuna maririjo nditi
254510,259086,maisur-u=atingai u=nu angami-nta=ja abuta abuta=ndi nd-i=ti nat-ita=ntin,19,maisuruatingai unu angamintaja abuta abutandi nditi natitantin
259205,264410,abuta=ja ma kais-i k-u-nu-ta=ba u=nu angami-nta=nga=du,20,abutaja ma kaisi kunutaba unu angamintangadu
265910,277911,u=nu ki=nu kkuru naga=nki mut-i bu-ru=ngara=ndi nd-i=ti n abuta=nga u=ni (da n) atara k-i mut-i bu-ta-ru ki=du aru=ngara u=du ba-nta=ja,21,unu kinu kkuru naganki muti burungarandi nditi n abutanga uni da n atara ki muti butaru kidu arungara udu bantaja
278175,285066,abuta=ndi umu-i=ti <kaza>-i utug-ar-ir-u=ndi=ti (budu?) u=nu ki=du sa-i=ti,22,abutandi umuiti qkazai utugarirunditi budu unu kidu saiti
285360,291636,ndi abuta=nki usutui usutui=ja abuta banu mabu-i turas-i war-i=jo=ndi nd-i buru-ta=atingai,23,ndi abutanki usutui usutuija abuta banu mabui turasi warijondi ndi burutaatingai
291850,301265,n-ta=ba unkara=nki maa ubu-da=nga banta u=ni=ja nar-a-nu=ngara hatarat-i=du kir-ar-ir-u=ndi buuru hatarat-i=ti din maasiku mug-ita=ba,24,ntaba unkaranki maa ubudanga banta unija naranungara hataratidu kirarirundi buuru hataratiti din maasiku mugitaba
301655,307035,u=si daa kku-i=ti n=ti,25,usi daa kkuiti nti
308605,313300,<butsudan> tugu=ndi nd-u-n-su=ja <daitai> <niban> da=ni=du a-i bu-ru cidi <iciban> da=ni,26,qbutsudan tugundi ndunsuja qdaitai qniban danidu ai buru cidi qiciban dani
313785,321055,<niban> da=nki u <kaza>-i=ti angami-nta=ja buuru=si usutui usutui=ni n-ta-ru-munu=gara=du,27,qniban danki u qkazaiti angamintaja buurusi usutui usutuini ntarumunugaradu
321811,327630,dunan=nu tugu=ja nai bu-ru=ndi nd-ar-i bur-u,28,dunannu tuguja nai burundi ndari buru
