Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
20967,22057,maradaru,1,maradaru
23012,25452,nan=nu munu=ja baradaru=do,2,nannu munuja baradarudo
34132,35352,nsimiru=nga,3,nsimirunga
36572,37812,nsimiru=nga,4,nsimirunga
39932,41702,<eezoo> nsimiru=nga,5,qeezoo nsimirunga
44177,45697,maradaru=do,6,maradarudo
50437,54527,mai=kani=ja maradaru=do <=to mizikai=tte> maradaru=do,7,maikanija maradarudo qto qmizikaitte maradarudo
64336,65515,maradaru=do,9,maradarudo
73274,74970,mara=du aru=do,11,maradu arudo
132560,133990,kabi ci buru,14,kabi ci buru
139250,142220,<hasami>=si <kami>=du kabi=du ci buru,15,qhasamisi qkamidu kabidu ci buru
143975,145505,kabi=du ci buru,16,kabidu ci buru
158260,163150,nnu <hasami>=si kabi=du ci butaru,17,nnu qhasamisi kabidu ci butaru
166993,168023,ci butaru,18,ci butaru
169038,170728,ci ci butaru,19,ci ci butaru
186223,187363,nnu,20,nnu
189853,191043,kabi=du,21,kabidu
191528,193908,nnu=du kabi=du ci-taru=do,22,nnudu kabidu citarudo
207238,209548,nai kabi=du ci buru=do,23,nai kabidu ci burudo
218023,219513,ci buru=do,24,ci burudo
250734,253454,nai=gara kabi=du tsu=ndi isi buru=do,25,naigara kabidu tsundi isi burudo
268229,270089,a kabi tsun=do=ndja,27,a kabi tsundondja
270879,272619,nai=gara kabi tsun=do<=to>,28,naigara kabi tsundoqto
275869,277629,<meeree=ni> tsun=do,29,qmeereeni tsundo
294679,295939,tsun=do,30,tsundo
296149,298029,nai=gara kabi tsun=do,31,naigara kabi tsundo
299469,301959,m nai=gara kabi tsun=do<=to=wa iu=sa>,32,m naigara kabi tsundoqtowa qiusa
319894,321954,kabi=ja ci utugjan=do,33,kabija ci utugjando
323814,325284,ci utugjan=do,34,ci utugjando
407106,409806,<hasami>=si kabi=du cjan=do n,39,qhasamisi kabidu cjando n
438776,440466,kabi=du ci buru=do,40,kabidu ci burudo
462961,467891,nnu kabi=du ci bun=su nnitan=do,41,nnu kabidu ci bunsu nnitando
486981,491251,nnu kabi ci buru munu nnitan=do,42,nnu kabi ci buru munu nnitando
518156,519606,nnu aranu=ti,43,nnu aranuti
564751,567821,nnu aranu=ti su=du isjaru=do=tti,46,nnu aranuti sudu isjarudotti
570586,574400,nnu nnu aranu=ti su=du isjaru=do<=to=wa iu>,47,nnu nnu aranuti sudu isjarudoqtowa qiu
604345,606805,nnu=ja ami hui buta=na,48,nnuja ami hui butana
607535,611245,nn nnu=ja huranutan=do suu=du hui buru=do,49,nn nnuja huranutando suudu hui burudo
622440,625520,nnu=ja aranu=ti su=du hui buru=do n,50,nnuja aranuti sudu hui burudo n
674045,676235,nu=bai isi buru=kaja=je,52,nubai isi burukajaje
704325,708865,<sen>=ja hi=ti a=nga=du nu=n tsari=ja buranun=do,53,qsenja hiti angadu nun tsarija buranundo
723245,725225,kabi=du tsari bun=suja,54,kabidu tsari bunsuja
740675,742655,kirariru<=to iu imi=dakara=jo>,57,kirariruqto qiu qimidakarajo
742886,745406,tsari<=ttara kusareta=to=no iu imi=mo>,58,tsariqttara qkusaretatono qiu qimimo
748516,749826,tsari bun=suja,59,tsari bunsuja
750951,754331,kabi=du tsari bun=suja,60,kabidu tsari bunsuja
782696,785366,<biru> numi bun=suja ttubunti=tu,62,qbiru numi bunsuja ttubuntitu
786866,787866,ttubunti,63,ttubunti
796356,798146,<biiru> numi bun=suja,64,qbiiru numi bunsuja
810211,812601,n ttubunti=si=du numjan=suja,65,n ttubuntisidu numjansuja
825956,828526,ttubunti=si <biiru> numitan=do,66,ttubuntisi qbiiru numitando
838011,841861,unu ttu=ja n ttubunti=si <biiru> numjan=do,67,unu ttuja n ttubuntisi qbiiru numjando
857486,858436,unu ttu=ja,68,unu ttuja
859081,861661,<gjuu-njuu>=du numi bun=suja,69,qgjuunjuudu numi bunsuja
868271,872481,unu ttu=ja nnu <gjuunjuu>=du numitaru,70,unu ttuja nnu qgjuunjuudu numitaru
932806,936826,nnu <biiru>=du numitaru=do,72,nnu qbiirudu numitarudo
959236,961066,da kkui buta=nga,73,da kkui butanga
967991,968431,kkui,74,kkui
982491,984101,kkui buta=nga,75,kkui butanga
984476,991201,anu=ja kkui uwarutan narutan=do,76,anuja kkui uwarutan narutando
993741,995391,kkui buta=nga,77,kkui butanga
997236,999806,simai=nki=ja nnanutan=do,78,simainkija nnanutando
1003731,1005911,simai kutan nnanutan=do,79,simai kutan nnanutando
1015981,1018851,kkui buta=nga e kkwan=do,80,kkui butanga e kkwando
1041326,1046966,kkui buta=nga anu=ja nnanutan=do <watasi=wa mite nai=jo>,82,kkui butanga anuja nnanutando qwatasiwa qmite qnaijo
1063996,1066736,unu ttu=ja kaci=du hai bun=suja,83,unu ttuja kacidu hai bunsuja
1073056,1075146,kaci=du hai bun=suja,84,kacidu hai bunsuja
1104841,1107501,unu ttu=ja <ramen>=du hai bun=suja,85,unu ttuja qramendu hai bunsuja
1192382,1193782,nu=nga utu=kaja=je,90,nunga utukajaje
1196982,1199932,u=ja ui=gara munu=nga bu=ti su=nga nu=ba utu=kaja=je,91,uja uigara mununga buti sunga nuba utukajaje
1201097,1202597,nu=ba utu=kaja=je,92,nuba utukajaje
1205927,1207997,nu=ba utu=kaja=je,93,nuba utukajaje
1212842,1214742,nu=ba utu=kaja=je,95,nuba utukajaje
1234207,1236967,nu=ba utusjaru=kaja=je,97,nuba utusjarukajaje
1400917,1403367,nu=ba utita=kaja=je,104,nuba utitakajaje
1503339,1505109,ttuci bagai utun=suja,110,ttuci bagai utunsuja
1505794,1508554,ttuci=bagai ttuci=bagai utun=suja,111,ttucibagai ttucibagai utunsuja
1509984,1513924,ttuci ttuci ttuci=bagai utun=suja,112,ttuci ttuci ttucibagai utunsuja
1681710,1684400,n ttuci=bagai uti bun=suja,125,n ttucibagai uti bunsuja
1699170,1700650,tubi=du bun=suja,126,tubidu bunsuja
1716500,1719090,tubitan=suja<=mo kako=dakedo m>,127,tubitansujaqmo qkakodakedo qm
1720605,1721955,tubitan=suja,128,tubitansuja
1735260,1737890,unu ttu=ja tubjan=suja<=mo tsukaeru=ne>,129,unu ttuja tubjansujaqmo qtsukaerune
1784780,1786620,tubi bun=suja,132,tubi bunsuja
1790340,1791890,tubi bun=suja,133,tubi bunsuja
1799345,1800795,tubi bun=suja,134,tubi bunsuja
1802930,1804010,tubi,135,tubi
1811420,1813070,tubi bun=suja,136,tubi bunsuja
1871605,1873275,tubi bun=suja,137,tubi bunsuja
1898500,1900490,tubi bun=suja unu angamiti=ja,138,tubi bunsuja unu angamitija
2140810,2144930,<kore=ni zja nakute> tidugun kku<=to=ga iu=keredo=mo>,139,qkoreni qzja qnakute tidugun kkuqtoga qiukeredomo
2147950,2148900,tidugun,140,tidugun
2149475,2152125,tidugun kkai tidugun kkun,141,tidugun kkai tidugun kkun
2153415,2154265,tidugun,142,tidugun
2154780,2157740,(t)idugun (t)idugun kkun,143,tidugun tidugun kkun
2158010,2159500,(t)idugun kkai,144,tidugun kkai
2162705,2166160,tidugun kkai tudugun kkun,145,tidugun kkai tudugun kkun
2166475,2167855,(t)idugun kkun,146,tidugun kkun
2176775,2179315,tidugun kkai bun=suja<=to=ka=ne>,147,tidugun kkai bunsujaqtokane
2181675,2182475,tidugun,148,tidugun
2183135,2184805,tidugun<=to=ga iu=sa>,149,tidugunqtoga qiusa
2192250,2194970,nnu unu ttu=ja tidugun kkai butan,150,nnu unu ttuja tidugun kkai butan
2207380,2208390,tidugun,151,tidugun
2242450,2243900,tidugun kkai=ti,153,tidugun kkaiti
2328225,2329205,tidugun,154,tidugun
2332505,2334255,tidugun kkai=jo,155,tidugun kkaijo
2337490,2341080,tidugun tidugun=du kkai buru tidugun,156,tidugun tidugundu kkai buru tidugun
2346915,2348675,kkai kkai kkai,157,kkai kkai kkai
2351005,2353085,tidugun=du kkai buru n,158,tidugundu kkai buru n
2362785,2364505,kkun<=to iu=no=wa=jo>,159,kkunqto qiunowajo
2365555,2366345,kkun,160,kkun
2370160,2372250,<kono to?=ga> kkun<=to iu>,161,qkono qtoga kkunqto qiu
2373235,2374655,kkun kkun,162,kkun kkun
2393815,2394705,tidugun,163,tidugun
2413968,2416698,tta=ja tidugun=du kkai bun=suja=ndi,164,ttaja tidugundu kkai bunsujandi
2417983,2418473,tta,165,tta
2421858,2423468,=du kkai bun=suja,166,du kkai bunsuja
2452734,2454414,kama=nki dusi bun=suja,167,kamanki dusi bunsuja
2460109,2461949,nidai=nki dusjaru,169,nidainki dusjaru
2547445,2548505,nidai<=to iu>,178,nidaiqto qiu
2549915,2552095,nidai=nki dusi butaru,179,nidainki dusi butaru
2639895,2641495,ntui buta=nga,188,ntui butanga
2646342,2648592,kosikaki=nki ntui=du butaru,189,kosikakinki ntuidu butaru
2650485,2653335,kosikaki=nki=n ntui=du butaru,190,kosikakinkin ntuidu butaru
2658365,2660435,<suwaru=no> nturu<=to=ga iu=kara>,192,qsuwaruno nturuqtoga qiukara
2660560,2662220,ntui buta=nga,193,ntui butanga
2666320,2668270,unkaranki tati=du kitaru,194,unkaranki tatidu kitaru
2679430,2684844,kosikaki=nki ntui buta=nga unkaranki tati=du kitaru,196,kosikakinki ntui butanga unkaranki tatidu kitaru
2701508,2703589,tati=du kita tati ntui,197,tatidu kita tati ntui
2707088,2708368,<kore=wa> tati,198,qkorewa tati
2708828,2709898,ntui,199,ntui
2711743,2712493,ntui<=wa>,200,ntuiqwa
2721048,2722898,unkaranki tati=du kitaru,201,unkaranki tatidu kitaru
2802413,2804203,ki=nga utitan=suja,203,kinga utitansuja
2809958,2812458,<are> ki=nga utun=suja<=to=wa iu=sa=ne>,205,qare kinga utunsujaqtowa qiusane
2812888,2814688,ki=nga utun=suja,206,kinga utunsuja
2835738,2838908,ki=nga <ano toki=wa> ki=nga utitan=suja,210,kinga qano qtokiwa kinga utitansuja
2838993,2840703,ki=nga<=ni naru=ne>,211,kingaqni qnarune
2862748,2864588,ki=du utitan=suja,213,kidu utitansuja
2870103,2871813,ki=du utitan=suja=ndi,215,kidu utitansujandi
2875798,2877498,ki=ja utitan=suja<=to>,216,kija utitansujaqto
2903918,2905688,ki=nga utitan=suja ki=du,218,kinga utitansuja kidu
2908013,2909913,ki=nga utun=suja<=de=mo>,219,kinga utunsujaqdemo
2914948,2917418,ki=du utun=suja<=to=mo n>,220,kidu utunsujaqtomo qn
2918423,2920533,ki=nga utun=suja<=to iu=no=wa>,221,kinga utunsujaqto qiunowa
3046095,3048445,ki=nga burun=suja<=to=wa iu=kara=ne>,232,kinga burunsujaqtowa qiukarane
