Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
37840,39350,hirun kun
40035,43045,hirun=di=du isi buru kun=di=du isi buru
46350,47390,xxx
75469,76439,xxx
80784,81704,simirun
86354,87224,ndirun
91884,92794,xxx
97979,98769,xxx
102174,102834,kagun
107303,108583,<miru=wa> nnun
111213,112023,nindun
115708,116588,umun
126718,128918,sagi numi-tan=ti=n nsa=na
131438,132358,nsa=na
136762,137752,nsa=na
145187,146887,o ujasi wari
157337,158897,numi-ja naranun
160537,162487,xxx
163762,165722,#NAME?
167212,168072,naranun
174012,175532,#NAME?
181136,183326,numi=ngasi=ja naranun
200286,202186,sagi numi=ngasi=ja
203326,205656,sagi numi-tan=ti=n nsa=kaja
210241,212391,sagi numi-tan=ti=n nsa=kaja<=tte>
219616,221636,numi-tan=ti=n nsa=na
242100,244470,sagi numi=ngasi=ja naranu=na
259084,261375,numi=ngasi=ja naranun=do
274309,276439,numi-tan=ti=n nsa=n=do
283954,285414,nsan=do
295774,298394,gaku=nki hiranu-tan=ti=n nsa=na
299994,302124,hiranu-tan=ti=n nsa=na
310219,312549,hiranu-tan=ti=n nsa=na
326544,328804,hiranu-tan=ti=n nsa-n=do
331673,334463,xxx
344970,347008,hiranu=ngasi=ja naranun=do
349449,350699,naranun=do
362154,365214,gaku=nki hiranu=ngasi=ja naranun=do
367295,369471,#NAME?
379819,382066,xxx
383419,386842,nsa=na<=to=ga iu=n=de> naranu=na<=to=wa>
394127,396900,gaku=nki hiranu=ngasi=ja naranu=na
401292,403866,gaku=nki hiranu=ngasi=ja naranun=je
409265,410590,naranun=je
424666,427768,gaku=nki hiranu=ngasi=ja naranun=do
429025,431937,gaku=nki hiranu=ngasi=ja naranun=do
451182,453573,gakku=nki hiranu-tan=ti=n nsan=do
488433,489447,xxx
495300,496314,tsumadugi
498307,499624,tsumadugi
507119,507777,dui
514458,515498,kindaguni
518496,519059,xxx
523662,524312,din
534515,535685,aci-da
536192,537968,xxx
541760,544091,xxx
548789,549482,xxx
552982,553996,unti
558685,559647,unti
600802,606218,dadu dadu<=wa to=wa> dadu<=dakara mado=to iu=no=ga=jo> 
659495,661046,<denki> kkiri
666387,668112,<denki> samasjan
674822,677682,samasjan<=to ittara kesu>
685159,686919,<denki> samasjan
695440,696368,husjan
704092,705037,mugun
706314,707536,xxx
710365,712185,xxx
713875,715400,ka mugun=do
724708,725462,kkun
726489,728177,xxx
731674,732332,kkurun
732939,734273,xxx
738872,740400,ttu=nki tubarun
755797,757235,sabarun <are>
759323,760432,sabarun
764200,766055,maju=nki sabarun
766663,769106,xxx
785696,788435,aci-da nmun=di bun=suja
789439,791926,xxx
793576,794954,xxx
796379,798528,nmun nmun<=wa>
805217,806057,nmun
807439,808713,nmun
810563,811958,aci-da nmun
812508,813903,xxx
815641,816880,nnari=tu
828313,829032,kkun
836306,837085,kkun
844116,844746,tsun
848361,848781,tsun
968519,969239,udu
970579,971569,udu<=to=ga>
972764,974464,xxx
980304,981504,udu kki
982814,983984,udu kki
988349,989969,udu katazu n
990729,992289,udu cidimiri
1004189,1005079,nnari
1008054,1009384,nnari hui
1015607,1017097,nnari hui=jo
1018882,1020912,nnari hiri=jo
1025436,1026287,husjan=do
1028320,1029251,nnari
1031214,1032465,xxx
1032949,1034649,nnari hui=jo
1035419,1036529,nnari
1055964,1057704,naga=nki han=do
1058194,1059104,han=do<=tte=ga>
1061489,1064249,xxx
1064949,1065809,han=do
1065947,1068119,(ne) naga=nki han=do
1079153,1081093,m numi-tan=ti=n nsa=kaja=je
1086833,1089713,numanu-tan=ti=n nsa=kaja=je<=wa=jo>
1095018,1096858,numi nsa=kaja=je
1097048,1098678,numu=nna=jo
1100698,1102148,u=ja numu=nna=jo
1106378,1108628,numi nsa=kaja=je
1112468,1115078,xxx
1133733,1136683,<dakedo> numi-tan=ti=n nsa=kaja=je<=to>
1138684,1140564,o numi nsa=kaja=je
1140979,1143044,xxx
1153672,1155959,gaku=nki hiranun nsa=kaja=je
1158042,1159959,xxx
1199091,1201027,aci-da nudi nsa=n=do
1204411,1206567,aci-da nudi nsa=n=do
1225456,1228010,<inu>=nki sabai nsan=kaja=je<=da>
1229445,1231209,xxx
1231596,1234374,<inu>=nki sabai nsa=kaja=je
1239194,1240860,sabai nsan=do<=to>
1253014,1255057,puitsarirun=do<=to iu hutsuu>
1258545,1259902,puitsarirun=do
1264558,1268389,n puitsarirun=do (puitsa...) puitsarirun=do
1270392,1272626,puitsarirun=do
1293843,1295998,dagu dagunga
1313890,1318264,<musu>=ni puitsariri=bi ma ma kja kja=daru<=to=ka>
1321592,1323970,muci=ni muci<=to=ga iu=sa=ne>
1324665,1326477,muci=ni puitsari=bi
