Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
35120,39520,<jooroppa>=nki hitaru kutu aru=kaja=je
41660,42810,hitaru kutu
46655,48205,ai waru=kaja=je
49730,51850,hitaru kutu a=na<=to=mo iu=sa=ne>
55488,58708,hitaru kutu a=na<=to ittara hutsuu=no kotoba>
70218,71958,o (i) hi nnun=do
75368,76418,hi nnun=do
79603,81033,hi nnun=do
92483,93943,hitaru kutu an=do
112083,113513,hita kutu an=do
122058,123688,hitaru kutu an=do
143713,146063,xxx
156438,157778,hi nnun=do
168188,170708,hi nni waru=kaja=je<=to=wa=ne>
176038,178998,hi nni waru=kaja=je<=to iu=no=wa>
179118,182248,hi nni waru=kaja=je<=tte>
188863,191633,<joroppa>=nki wai nnu=na
191758,193318,hi nnu=na<=de>
194928,197308,xxx
199508,200818,wai nnu=na
224123,225453,xxx
233318,235418,nn hi nnanun
237228,238298,n hi nnanun
255081,257821,nn anu=ja hi nnan=do
259491,261141,anu=ja hi nnan=do
286626,288186,hi busa=daru=na
297516,299236,a wai busa=daru=na
306466,308276,xxx
310861,314181,xxx
321561,323591,xxx
324046,325866,xxx
337766,339966,xxx
340336,341866,xxx
368511,370271,xxx
396511,399741,o hi nnun=do nu=ni=ba buta=nga
408866,409976,nuniba
413781,414931,xxx
435076,436986,nuniba
438831,440131,nuniba
443771,446920,xxx
447170,450950,nuniba umui wararita=nga
451410,453940,nuniba umui wararita=nga
469295,470635,xxx
485095,486965,xxx
535783,537813,kaabi=du bun=suja<=tte iu=no=wa>
548608,550718,kabai=du bun=suja
551743,554423,unu haimunu=ja kabai=du bun=suja
557863,559153,unu cidu=ja
560463,562183,kabai=du bun=suja
563043,565373,kabai=du bun=suja<=no igai=ni aru>
578708,581108,maaru-munu misaru-munu<=de=ga>
584998,587148,maaru-munu<=ttara oisii mono>
591653,593383,misa=du an=suja
595278,596808,misa=du an=suja
601146,602726,misa=du an=suja
631076,632566,misa-gisan=suja
633201,634881,xxx
635011,635861,u=ja
636776,639106,misa=du an=suja<=wa>
639421,643061,<tabeta koto=no aru mono> misa-gisan=suja<=tte iu=no=wa>
647781,649321,xxx
660821,663741,misa-gisa=du an=suja<=de nai=ka=na>
664061,665701,misa-gisa=du an=suja
666051,667531,misa-gisa=du an=suja
696821,698211,maasan=suja
704176,705846,misa=du an=suja
735011,736171,habu-zagi
737421,738631,habu-zagi
752666,753826,isi turai
760916,762136,xxx
842046,843396,naari huci
850376,852116,naari huci<=to=ga=jo>
857956,859306,huci uci
864351,865541,huci uti
882636,883986,naari huci
892051,895311,huci uti ai huti uti bun=suja<=to=ga>
898851,901041,huci uti naari huci
920271,921571,ami=nu mija
923341,924481,ami=nu mija
927271,928061,ami
929486,930586,ami=nu mija
932066,934156,ami=nu mija
936201,937561,<soo> ami=nu mija
937591,939751,xxx
977631,978311,mija
988451,989771,ami=nu mija
1009678,1011208,xxx
1016343,1018933,<dakara> ami=nu mija ami=nu mija
1021463,1022653,ami=nu mija
1039418,1040748,misa=du aru munu
1071203,1072733,irugjan=suja
1077298,1079338,irugjan=suja<=to=ga iu=sa>
1080588,1081998,irugjan=suja
1087736,1089266,irugjan=suja
1096491,1098241,irugjan=suja
1147986,1149116,umui<=da=ne>
1150181,1150991,umui
1155876,1156836,umui
1162584,1164144,xxx
1174624,1175244,dutu
1234874,1235534,dutu
1237874,1239394,dutu=du an=suja
1285824,1287154,xxx
1290424,1293614,<e mazu zisin=wa> nai-dui<=to=iu=sa=ne>
1296179,1297139,nai-dui
1297299,1298959,nai dui=du bun=suja<=ni>
1316419,1317259,xxx
1336809,1337929,nai=duru
1338049,1340009,nai-dui=du bun=sa<=tte=ga>
1341949,1346149,nai-dui=du bun=suja nai-dui<=to=ga iu=kedo>
1356079,1357069,nai-dui
1437624,1438964,nai-dui
1704864,1707454,nnai di-nnai
1709989,1711039,nnai<=tte iu>
1713424,1714884,xxx
1721518,1722728,di-nnai
