Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
18860,20670,o nsan=do,1,o nsando
21305,22635,hai nsan=do,2,hai nsando
52300,54740,o naga=nki hai wari,4,o naganki hai wari
87535,89145,n naga=nki hairi,7,n naganki hairi
112463,113741,tabararirun=je,8,tabararirunje
132083,134423,hugarasa araagu matan=do,9,hugarasa araagu matando
143304,144330,matan=do,11,matando
227691,231264,nanki ki turasi wai hugarasa=je<=to=wa iu=kedo=mo=je>,12,nanki ki turasi wai hugarasajeqtowa qiukedomoje
237243,240687,nangi ki turasi wai hugarasa=je,13,nangi ki turasi wai hugarasaje
290437,293135,buri kimi turasi wari<=to=ga iu=sa>,15,buri kimi turasi wariqtoga qiusa
293570,296437,buri kimi turasi wari=jo,16,buri kimi turasi warijo
298169,299376,turasi wari=jo,17,turasi warijo
339762,340808,buri ki,19,buri ki
343217,344124,buri ki,20,buri ki
344300,345258,buri ki,21,buri ki
345759,346914,buri ki<=sa=ne>,22,buri kiqsane
354344,356355,buri kimi turasi wari=jo,23,buri kimi turasi warijo
378647,380431,buri kimi turasi warjan,24,buri kimi turasi warjan
384147,386187,nsan=do uni=ti nsan=do,25,nsando uniti nsando
390424,391411,nsan=do,26,nsando
429169,431889,(nda=ja) gandu ki waru=nga=je,27,ndaja gandu ki warungaje
433867,435848,(nai) gandu ki waru=nga=je,29,nai gandu ki warungaje
455658,457829,gandu ki waru=na,31,gandu ki waruna
460143,461971,gandu ki waru,32,gandu ki waru
463163,464830,gandu ki waru=na,33,gandu ki waruna
476895,478482,gandu ki waru=na,34,gandu ki waruna
482551,483794,ki waru=nga=je,35,ki warungaje
493585,495918,nda=ja gandu ki waru=nga=je,36,ndaja gandu ki warungaje
