Begin Time - msec,End Time - msec,Yonaguni
52380,59520,h-ita-ru basu=ni=gara anu=ja=jo n <jooroppa>=nki h-ita-n-su=ja
60040,64730,<narita kuukoo>=gara <zutto> <amerika>=nu u-ma=ja ka-ma=ja
66560,71865,ka-ma to-i=ti=du <igirisu>=nki h-ita-ru=cidi (de) tuma-ta-ru duguru=ja
73325,78626,<saisjo>=ni <igirisu>=gara <cekosurobakia>=ndi nd-u duguru=nki=du h-ita-n=do
79035,84630,ka-mi u-ma=tu ciga-i b-u-n-su=ja=jo <hikooki>=gara ur-i-ru basu=ni=doo
84910,93826,(du) angamiti=gara angamiti=gara angamiti=gara=du ur-i-ta-ru=cidi <hikooki>=gara angamiti ur-us-i=ti
94506,97965,nkara=nki han bara-sa-ru ttu-nta
99517,105915,unu ttu-nta=nga ur-i=ti n nkara=nki ui-ttu ur-us-i=ti
107700,116831,nkara=nki=du <hutsuu>=nu ttu=nga nu=n kir-a-nu ttu=nga <genki>=na ttu=nga ur-u-ta-ru=cidi=ndja u=du <iciban> hadim-i=ni=jo
117131,122350,haa ciruma=du a-n-su=ja=ndi umu-ta-ru=cidi=ma n=ti ku-ma=nki ur-i=ti
122541,132281,<cekosurobakia>=d(u) ar-u-n=gara anu=ja n <garasu koozjoo>=jo u-mi=ja nn-i nn-a-minu-n=gara <garasu koozjoo>=nki it-i=ti
133596,137528,<garasu>-nta=ma ka-i=ti ciruma-n=gara
137810,143813,n=ti ka-ma=ja <kjoo-san-ken>=du ar-u=cidi=ndja <kjoo-san-ken>=du ar-u-n=gara
144050,150230,ha-i-munu=ja <zeetaku>=ni h-ar-i=ti ttumuti=gara (ma) ha-i-munu-nta h-ar-i-ru=nga=du=jo
150436,153723,nu=ba kabar-u=na=ndi nd=ja u-ma=di
154468,159346,u-ma=nu tsugi=ja <huransu> <ceko>=gara=jo
159505,165335,<huransu>=nki hi-ru=ndi <huransu>-nta=ja du=nu cima=ja ar-a-nu-n-su=ja m
167111,175858,nundja <kjoosan-ken>=ja ar-a-nu-n=gara=jo u-ma=di batar-u=basu=ni=jo buru sirab-i-ru ki-ru=cidi=ndja=na
176766,179465,n=ti u=nga naga=nu ttui=ja
180523,187653,mo buuru <zjuu-kjuu-mee>=du a-ta-ru=ngara u=nu naga=nu ttui=ja ma ta=ndi bagar-a-nu=nga ka-ma=di at-i bu=cidi
187803,190690,at-i=ti ttui=ja buuru sirab-i=ti=jo
190873,196436,mo (pantsuipun?)=si buru u=ni=ti=du nti <densja>=nki nu-s-im-i=ti
196940,204276,<densja>=gara tta bata-i hi-ru=nga n=ti kundu=ja <huransu>=nki it-i=ti=du=jo
204776,208055,<huransu>=ni ciruma-ta-n-su=ja=jo
209591,220726,ka-ma=ja <tokee>=bain <zisaboke> kari=ndi s-i=ti <zikan>=nga <zjuu-gatsu-ni-zjuu-si-nici=du> uwa-i b-u=nga <ni-zjuu-sici-nici>=gara
220726,223968,ata=nki nar-u=basu=ni=nu <zikan>=nga=jo
225516,230550,<roku-zikan>=nga a-ta=ba <tokee>=du buru <nao>=ccidi
230880,238243,<tokee canto naos-i=te> u=nu hi=ni=ndi=ma u=nu <tokee>=du awa=ndi nd-u-munu=tu
239715,248456,ttumuti=nu ha-i-munu=nga=du=jo <ceko>=ja <kjoo-san-ken>=du a=ngara igura=tin <okawari>=n ki-rar-i-ta=nga=du
