Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
75366,77016,damatu=n ttu=nga a=na,1,damatun ttunga ana
81271,84581,<amerika=no gakkoo=no> sinsii=du ki warun,2,qamerikano qgakkoono sinsiidu ki warun
99316,100326,nai=ja,3,naija
101951,105481,<amerika=no gakkoo=no> sinsii=du ki warun,4,qamerikano qgakkoono sinsiidu ki warun
126326,128476,damatu=n ttu=du a=nga,5,damatun ttudu anga
129641,130861,damatu=n ttu,6,damatun ttu
133831,136801,damatu=n ttu=du a=nga<=to=ka>,7,damatun ttudu angaqtoka
137126,140186,damatu=n ttu=du ai waru=nga<=dattara mata au=sa>,8,damatun ttudu ai warungaqdattara qmata qausa
146156,147356,nai=ja,9,naija
168566,171916,=du a=nga damatu=n ttu a=nga<=ttara=jo>,10,du anga damatun ttu angaqttarajo
172941,174711,damatu=n ttu=du,11,damatun ttudu
180496,182526,damatu=n ttu=du a=nga,12,damatun ttudu anga
201086,202176,mjagu=nu kutuba,14,mjagunu kutuba
257061,259751,hajagu ku=jo hajagu ugirun=do,17,hajagu kujo hajagu ugirundo
268221,269831,hanasi kirun=do,19,hanasi kirundo
274836,276466,ttamirun=do<=to=ka=ne>,20,ttamirundoqtokane
280731,283041,nda=nki ttamirun=do<=to=ka ittarasi>,21,ndanki ttamirundoqtoka qittarasi
349838,351818,<suki> isi ci waru=na,27,qsuki isi ci waruna
353078,357843,isi ci waru=na <dekiru=ka=ttara> isi ci waru=na,28,isi ci waruna qdekirukattara isi ci waruna
366243,368543,o isi tsun=do,29,o isi tsundo
378853,380463,nn isi tsanu,30,nn isi tsanu
391578,392788,isi tsun=do,31,isi tsundo
415113,416583,n isi ci waru=na,32,n isi ci waruna
426558,428178,hai tsu=na<=de ii=na>,33,hai tsunaqde qiina
436768,440818,ujasi waru=na hai hai nni waru=na,34,ujasi waruna hai hai nni waruna
441173,443693,hai nnu=na<=to=ka iu kotoba=wa tsukau>,35,hai nnunaqtoka qiu qkotobawa qtsukau
444153,445973,<nattoo> hai nnu=na,36,qnattoo hai nnuna
452393,453773,a hai tsu=na,37,a hai tsuna
454673,456323,<nattoo> hai tsu=na,38,qnattoo hai tsuna
484218,487538,ujasi ci waru=na ujasi ci waru=na,40,ujasi ci waruna ujasi ci waruna
502408,503838,n isi=ja nnun=do,41,n isija nnundo
510683,512313,n isi nnun=do,42,n isi nnundo
536979,544009,a <nagano-ken>=ni isi buru (ja ja) <suki> (i...) iru ttu=ja maisa=na,43,a qnaganokenni isi buru ja ja qsuki i iru ttuja maisana
547659,549069,maisagu bu=na,45,maisagu buna
575174,576404,maisagu,48,maisagu
583642,584652,maasiku,49,maasiku
584787,587937,maisagu bu=na<=to=mo tsukau=keredo=mo>,50,maisagu bunaqtomo qtsukaukeredomo
589012,591362,<tsukau koto=wa tsukau> maisagu bu=na,51,qtsukau qkotowa qtsukau maisagu buna
592077,594647,<suki> isi buru ttu maisagu bu=na,52,qsuki isi buru ttu maisagu buna
647342,650067,udi ci waru=na<=dessjo> udi ci waru=na,58,udi ci warunaqdessjo udi ci waruna
650854,652474,ibitati=ja udi tsun=do,59,ibitatija udi tsundo
689314,692264,ata=ja tubarariru=kaja,60,ataja tubararirukaja
694189,696089,ata=ja tubarariru=kaja<=to=ga iu=kedo>,61,ataja tubararirukajaqtoga qiukedo
741049,742189,kirariru=kaja,64,kirarirukaja
759469,761159,tubarariru=kaja,65,tubararirukaja
762854,764804,tubarariru=kaja<=to>,66,tubararirukajaqto
773149,775939,ata=ja tubai warariru=kaja,67,ataja tubai wararirukaja
905113,906953,kkariru kutuba=do<=to=ka=ne>,79,kkariru kutubadoqtokane
922583,924703,dunan kutuba,80,dunan kutuba
929103,930733,kkai ci waru=na,81,kkai ci waruna
934048,935938,isi ci waru=na<=to ittara>,82,isi ci warunaqto qittara
942523,944553,nda dunan kutuba kkai waru=na,83,nda dunan kutuba kkai waruna
945458,947428,nda dunan kutuba bagai waru=na,84,nda dunan kutuba bagai waruna
955893,957113,kkai ci waru=na,85,kkai ci waruna
964583,967403,dunan kutuba kkai warariru=na,86,dunan kutuba kkai warariruna
982073,983783,dunan kutuba,88,dunan kutuba
985988,987938,kkai waru=na<=to=ga iu=kedo>,89,kkai warunaqtoga qiukedo
990823,993033,kkai warariru=na,90,kkai warariruna
1000038,1002408,dunan kutuba kkariru=na,91,dunan kutuba kkariruna
1002473,1005533,kkariru=na<=to iu=no=ni=wa hutatsu aru=jo>,92,kkarirunaqto qiunoniwa qhutatsu qarujo
1006633,1007703,kkariru=na<=to=ga>,93,kkarirunaqtoga
1027838,1029938,tti tsu=na<=to=ga iu=sa aru=jo>,94,tti tsunaqtoga qiusa qarujo
1030998,1035028,tti tsu=na munu kkariru=na tti tsu=na,95,tti tsuna munu kkariruna tti tsuna
1038757,1040287,tti tsu=na,96,tti tsuna
1041642,1043612,kkariru=na<=ttara mukoo=kara>,97,kkarirunaqttara qmukookara
1044057,1048167,<n kikoeru=ka> tti tsu=na kkai tsu=na,98,qn qkikoeruka tti tsuna kkai tsuna
1049192,1050312,kkariru=na,99,kkariruna
