Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
75366,77016,damatu=n ttu=nga a=na
81271,84581,<amerika=no gakkoo=no> sinsii=du ki warun
99316,100326,nai=ja
101951,105481,<amerika=no gakkoo=no> sinsii=du ki warun
126326,128476,damatu=n ttu=du a=nga
129641,130861,damatu=n ttu
133831,136801,damatu=n ttu=du a=nga<=to=ka>
137126,140186,damatu=n ttu=du ai waru=nga<=dattara mata au=sa>
146156,147356,nai=ja
168566,171916,=du a=nga damatu=n ttu a=nga<=ttara=jo>
172941,174711,damatu=n ttu=du
180496,182526,damatu=n ttu=du a=nga
194131,195321,xxx
201086,202176,mjagu=nu kutuba
202311,204561,xxx
251376,252206,hajan
257061,259751,hajagu ku=jo hajagu ugirun=do
262596,263846,hajagu ugirun=do
268221,269831,hanasi kirun=do
274836,276466,ttamirun=do<=to=ka=ne>
280731,283041,nda=nki ttamirun=do<=to=ka ittarasi>
300546,301306,iju
302396,303166,iju
310121,312101,atarasaru iju<=to=ga itte iru>
313961,314681,iju
320071,321511,atarasaru iju
349838,351818,<suki> isi ci waru=na
353078,357843,isi ci waru=na <dekiru=ka=ttara> isi ci waru=na
366243,368543,o isi tsun=do
378853,380463,nn isi tsanu
391578,392788,isi tsun=do
415113,416583,n isi ci waru=na
426558,428178,hai tsu=na<=de ii=na>
436768,440818,ujasi waru=na hai hai nni waru=na
441173,443693,hai nnu=na<=to=ka iu kotoba=wa tsukau>
444153,445973,<nattoo> hai nnu=na
452393,453773,a hai tsu=na
454673,456323,<nattoo> hai tsu=na
468028,472908,<nattoo> ujasi waru=na<=wa>
484218,487538,ujasi ci waru=na ujasi ci waru=na
502408,503838,n isi=ja nnun=do
510683,512313,n isi nnun=do
536979,544009,a <nagano-ken>=ni isi buru (ja ja) <suki> (i...) iru ttu=ja maisa=na
544054,545604,xxx
547659,549069,maisagu bu=na
555124,556534,xxx
570059,571709,xxx
575174,576404,maisagu
583642,584652,maasiku
584787,587937,maisagu bu=na<=to=mo tsukau=keredo=mo>
589012,591362,<tsukau koto=wa tsukau> maisagu bu=na
592077,594647,<suki> isi buru ttu maisagu bu=na
611402,612452,ungun
612542,614962,xxx
615107,615757,ungun
622462,623712,ugun=do
626277,628867,unnaga=ni udi bun=do<=to=ga iu=kara=ne>
647342,650067,udi ci waru=na<=dessjo> udi ci waru=na
650854,652474,ibitati=ja udi tsun=do
689314,692264,ata=ja tubarariru=kaja
694189,696089,ata=ja tubarariru=kaja<=to=ga iu=kedo>
707749,709949,ata=ja ungariru=kaja
723029,724389,ungariru=kaja n
741049,742189,kirariru=kaja
759469,761159,tubarariru=kaja
762854,764804,tubarariru=kaja<=to>
773149,775939,ata=ja tubai warariru=kaja
791264,793224,sagi ujasi waru=na<=ga iu>
795454,797314,xxx
811954,815144,sagi ujasi warariru=na<=dattara ii=kedo>
818629,821429,sagi ujasi waru=na
835339,837809,hajagu ugi warariru=na
855406,857376,hajagu ugi waruu=na
857611,859931,hajagu ugi warariru=na
862221,865826,hajagu (u...) ugi warariru=na<=to=ga iu=kedo>
889623,892243,xxx
898133,900373,xxx
902953,904373,xxx
905113,906953,kkariru kutuba=do<=to=ka=ne>
922583,924703,dunan kutuba
929103,930733,kkai ci waru=na
934048,935938,isi ci waru=na<=to ittara>
942523,944553,nda dunan kutuba kkai waru=na
945458,947428,nda dunan kutuba bagai waru=na
955893,957113,kkai ci waru=na
964583,967403,dunan kutuba kkai warariru=na
969713,971353,xxx
982073,983783,dunan kutuba
985988,987938,kkai waru=na<=to=ga iu=kedo>
990823,993033,kkai warariru=na
1000038,1002408,dunan kutuba kkariru=na
1002473,1005533,kkariru=na<=to iu=no=ni=wa hutatsu aru=jo>
1006633,1007703,kkariru=na<=to=ga>
1027838,1029938,tti tsu=na<=to=ga iu=sa aru=jo>
1030998,1035028,tti tsu=na munu kkariru=na tti tsu=na
1038757,1040287,tti tsu=na
1041642,1043612,kkariru=na<=ttara mukoo=kara>
1044057,1048167,<n kikoeru=ka> tti tsu=na kkai tsu=na
1049192,1050312,kkariru=na
1051952,1055832,kkariru=na a=nga ndi buru kutuba kkariru=na<=tte iu=sa=ne>
1058542,1060422,n kkai tsu=na<=to ittara>
1064212,1065952,kkariru=na<=to ittara>
1071702,1073102,kkai tsu=na
1074942,1076652,kkai tsu=na<=to ittara>
1087237,1088097,tti tsu=na<=da>
1098157,1101457,<wakaru=ka=to iu mono=wo> tti tsu=na
1102557,1103367,tti
1133072,1135002,a n tti wari=jo <ii>
1136477,1138147,xxx
1138252,1141122,a=nga uni ndu=ba tti turasi wari=jo<=to=ka=ne>
1153382,1154742,a=nga ndu=ba
1155172,1158292,tti=jo tti=jo tti=jo=to iu=sa=ne
1162957,1164497,tti=jo tti=jo
1173867,1175627,dunan kutuba kkai waru=na
1179757,1180537,tti
1181477,1183557,dunan kutuba tti waru e
1191487,1193197,nda dunan kutuba
1195012,1196342,bagai waru=na
1228927,1232077,xxx
1233992,1235622,xxx
1248247,1249927,xxx
1266647,1271257,nma=ni nma=nki <ano toki=wa> nma=nki hiru=ba <itta hoo=ga ii>
1279142,1280852,nma=nki hiru=ba
1283867,1285557,xxx
1285712,1287202,kariru=kaja=je
1294477,1296047,kariru=kaja=je
1335212,1338712,maasaru iju ui bu=kaja=je masaru iju
1341552,1343302,maaru iju<=to=mo iu=jo>
1344172,1346612,xxx
1351872,1354882,<dakedo> maasaru<=wa amari tsukawan=ja are=wa>
1359154,1360524,maaru iju<=to=ga iu>
1376574,1378334,xxx
1382194,1383844,kariru=kaja=je
1406959,1408749,nu=si=ba hiru=nga<=to iu imi=ka>
1410134,1412194,xxx
1412794,1414094,aiti=ti=du hiru<=to=ka>
1424164,1424824,xxx
1426624,1429844,nugu siti=ba <bjooin>=ki=ja hiru=nga
1469214,1471944,nugu siti=ba <bjooin>=ki hirariru=nga
1510189,1514109,nugu si=ti=ba <bjooin>=ki hiru=kaja=ndi bagaru=na
1517901,1519941,hiru=kaja=ndi bagaru=na
1522731,1524861,hiru=kaja=ndi bagaru=na
1544096,1548186,nugu si=ti=ba hiru=kaja=ndi bagai bu=na bagaru=kaja=je
1558251,1559491,atsa=tantin
1561091,1562341,atsa=tantin
1576546,1578676,atsa=tantin nindariru=na
1581521,1584131,atsa=tantin dugui warariru=na
1587656,1589356,dugui warariru=na
1597106,1598456,atsa=tantin
1621651,1623311,ata kurariru=na
1641981,1644651,ata warariru=na <soo soo (nan)>
1644976,1646596,ata warariru=na
1654436,1655276,uma=nki
1678701,1684331,ata umi=ni waru=na ata umi=ni waru=na
1684581,1685981,ata
1687011,1691090,ata uma=nki ku=ngga uma=ni waru=na <n kore tsukaeru=ne>
1702586,1705886,ata uma=ni bu=na
1716856,1718296,kama kuma kama
1719706,1721566,nda ata kami bu=na
1724176,1725166,kami bu=na
1728301,1729391,kami kami
1740216,1743236,ata kama=nki warariru=na <n kore au=jo>
1750506,1752036,ata kami
1752621,1758171,ata kami waru=na<=wa a ieru=kedo> ata kami waru=na
1758796,1760406,ata kami waru=na
1764551,1766271,ata kama=nki hiru=na
