Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
18459,24109,ba-nta=nga tundiru mai=ni hurija=nki hiri=jo,1,bantanga tundiru maini hurijanki hirijo
26639,28389,tundiru mai=ni,2,tundiru maini
69374,79094,ba-nta=nga kuru mai=nki (nui...) nui=ti=gara nui=ti=gara angami-nta=nga hurija=nki hi busa=daru=ndi ndi buru,5,bantanga kuru mainki nui nuitigara nuitigara angamintanga hurijanki hi busadarundi ndi buru
90264,92874,hurija=nki hi busaru=ndi=du ndi buru,7,hurijanki hi busarundidu ndi buru
102454,104464,hi busaru=ndi=du ndi buru,9,hi busarundidu ndi buru
110609,113529,hurija=nki hi busaru=ndi=du ndi buru,10,hurijanki hi busarundidu ndi buru
124999,127779,hi busaru=ndi=du ndi buru,12,hi busarundidu ndi buru
206989,210869,dui hai buru basu=ni=ja <denwa> ki=nna=jo,16,dui hai buru basunija qdenwa kinnajo
228684,231884,dui hai buru basu=ni=ja <denwa> ki=nna=jo,18,dui hai buru basunija qdenwa kinnajo
250494,251394,muuru,19,muuru
276183,277703,katazukiri=jo,21,katazukirijo
290473,292113,a katazukiri=jo<=to=ga iu>,22,a katazukirijoqtoga qiu
310073,314253,nati buru angami ninsimjan=do,23,nati buru angami ninsimjando
316143,317663,ninsimjan=do,24,ninsimjando
320393,322603,m ninsimjan=do (nin...),25,m ninsimjando nin
322868,324518,ninsimjan=do,26,ninsimjando
355443,361253,angami=nga nati buru basu=ni <gjuunjuu> numamitan=do,27,angaminga nati buru basuni qgjuunjuu numamitando
367218,369108,angami=nga natita=ba,28,angaminga natitaba
371103,374693,natita=ba <gjuunjuu> numamjan=do<=de=mo>,29,natitaba qgjuunjuu numamjandoqdemo
405813,407163,numamun=do<=to=wa>,30,numamundoqtowa
415408,420698,angami=nki <gjuunjuu> numamjan=do ,32,angaminki qgjuunjuu numamjando 
423513,425433,nati buru basu=ni,33,nati buru basuni
427233,429463,<gjuunjuu> numamjan=do,34,qgjuunjuu numamjando
444148,447558,(nati) buta=ba <gjuunjuu> numamjan=do<=to iu>,35,nati butaba qgjuunjuu numamjandoqto qiu
455043,457703,m nati nati=du buru<=to=ga iu>,36,m nati natidu buruqtoga qiu
463173,464593,nati=ngasi=ja,37,natingasija
472718,477823,nati=ngasi=ja<=to=mo ieba> natita=ja <naitara=to=mo iu=ne>,39,natingasijaqtomo qieba natitaja qnaitaratomo qiune
486460,487790,numamirun=do,40,numamirundo
503445,507065,natita=ja <gjuunjuu> numamiri=jo<=wa iu=sa>,41,natitaja qgjuunjuu numamirijoqwa qiusa
508955,510235,natita=ja,42,natitaja
512980,514320,numamiri=jo,44,numamirijo
525420,528980,nati=ngasi=ja <gjuunjuu> numamiri=jo,45,natingasija qgjuunjuu numamirijo
533637,536117,numamiri=jo<=ttara meeree=ni>,46,numamirijoqttara qmeereeni
561897,565267,<gjuunjuu nomasu=jo=to iu imi=ga> numamirun=do,47,qgjuunjuu qnomasujoto qiu qimiga numamirundo
587022,588062,n ki=nu ha=nga,48,n kinu hanga
605482,608852,ki=nu ha=nga uti si=ngasi=ja sabitsagu nai=du kirun=suja,49,kinu hanga uti singasija sabitsagu naidu kirunsuja
615257,618877,uti=ngasi=ja sabitsagu nai=du kirun=suja,50,utingasija sabitsagu naidu kirunsuja
624692,626302,m nai=du kirun=suja,52,m naidu kirunsuja
656847,659157,ki=nu ha=nga uti si=ngasi=ja,53,kinu hanga uti singasija
661882,665927,ki=nu ha=nga uti=ngasi=ja sabitsagu nai=du kirun=suja<=to>,54,kinu hanga utingasija sabitsagu naidu kirunsujaqto
676817,681177,ki=nu ha=nga ki=nu ha=nga uti=ngasi=ja,55,kinu hanga kinu hanga utingasija
694199,696709,ki=nu ha=nga utita=ja,56,kinu hanga utitaja
698654,700624,kama=nki hirarirun=do<=to=ka>,57,kamanki hirarirundoqtoka
713164,714914,n ki=nu ha=nga utita=ja,59,n kinu hanga utitaja
723064,726334,ki=nu ha=nga utita=ja ambi=ndi hirarirun=do,61,kinu hanga utitaja ambindi hirarirundo
743219,747709,ki=nu ha=nga utita=ja katazukiri=jo katazukiri=jo<=to=wa ieru=sa>,62,kinu hanga utitaja katazukirijo katazukirijoqtowa qierusa
774334,775904,a ki=nga buuru,63,a kinga buuru
776659,778769,ki=nu ha=nga buuru utu=bi,64,kinu hanga buuru utubi
791759,796469,buuru uti=bi sabitsagu nai bun=suja sabitsa=du an=suja,66,buuru utibi sabitsagu nai bunsuja sabitsadu ansuja
835134,842081,umi <hun> dumi butaru ttu=ja umi <hun> dumi butaru ttu=ja,67,umi qhun dumi butaru ttuja umi qhun dumi butaru ttuja
846916,848653,nma=nki=ba hiru=kaja=je,69,nmankiba hirukajaje
852229,853112,ttu=ja,70,ttuja
855275,857204,nma=nki=ba hiru=kaja=je,71,nmankiba hirukajaje
894788,899734,umi sunguti dumi butaru ttu=ja buuru dumjan=do,75,umi sunguti dumi butaru ttuja buuru dumjando
917116,920796,unu sunguti dumitaru ttu=ja,76,unu sunguti dumitaru ttuja
921885,926271,unu sunguti dumitaru ttu=ja buuru dumjan=do,77,unu sunguti dumitaru ttuja buuru dumjando
937913,940533,dumi butaru ttu=ja<=de=ga=jo>,78,dumi butaru ttujaqdegajo
952087,956105,unu sunguti dumjaru ttu=ja kama=nki hiru=do<=to=ka=ne>,79,unu sunguti dumjaru ttuja kamanki hirudoqtokane
971648,974297,unu sunguti dumi butaru ttu=ja,80,unu sunguti dumi butaru ttuja
981877,988368,unu sunguti dumjaru ttu=ja anbin=di=du hiru=do<=to=ka=mo ieru=sa=ne>,81,unu sunguti dumjaru ttuja anbindidu hirudoqtokamo qierusane
1043820,1046117,unu sunguti dumi buru ttu=ja,87,unu sunguti dumi buru ttuja
1062380,1065103,dumi butaru ttu=ja<=to ittara=ga>,89,dumi butaru ttujaqto qittaraga
1067951,1070276,nma=nki=ba hju=nga<=to iu toki=ni=wa>,90,nmankiba hjungaqto qiu qtokiniwa
1072749,1075604,unu sunguti dumi butaru ttu=ja,91,unu sunguti dumi butaru ttuja
1076340,1078401,nma=nki=ba hju=nga,92,nmankiba hjunga
1085230,1090977,nma=nki=ba n hiru=kaja=je hiru=kaja=je <ano toki=wa>,93,nmankiba n hirukajaje hirukajaje qano qtokiwa
1106330,1111408,unu (sunga...) sunguti dumi butaru ttu=ja nma=nki=ba hiru=kaja=je,96,unu sunga sunguti dumi butaru ttuja nmankiba hirukajaje
1143572,1148403,unu sunguti dumi butaru ttu=ja nma=nki=ba hjuru=kaja=je<=ga>,99,unu sunguti dumi butaru ttuja nmankiba hjurukajajeqga
1210909,1214339,nai=gara kagu tigami=ja,101,naigara kagu tigamija
1217330,1219125,kagu tigami=ja,102,kagu tigamija
1232029,1236555,nai=gara kagu tigami=ja ija abuta=nki ugurun=do,104,naigara kagu tigamija ija abutanki ugurundo
1284596,1286446,ugui turasi wari=jo,105,ugui turasi warijo
1295950,1298685,katjaru tigami ugui turasi wari=jo,106,katjaru tigami ugui turasi warijo
1316192,1318904,a=nga katitaru tigami,107,anga katitaru tigami
1321068,1323241,ugui turasi wa=na,108,ugui turasi wana
1332983,1334959,ugui turas wa=na,109,ugui turas wana
1406122,1418658,sinsii <seetoo>=nki ndu basu=ni <sjukudai> irun=su=ja macigai minu joo=ni macigai minu=no joo=ni iri=jo,110,sinsii qseetoonki ndu basuni qsjukudai irunsuja macigai minu jooni macigai minuno jooni irijo
1432150,1435454,minu=nki macigai minu=nki iri=jo,113,minunki macigai minunki irijo
1447368,1449038,minu=nki iri=jo,115,minunki irijo
1491725,1493557,macigai minu=nki iri=jo,117,macigai minunki irijo
1527051,1529098,macigai minu=nki iri=jo,119,macigai minunki irijo
1536928,1541581,n <sjukudai> irun=do nai=gara <sjukudai> irun=do<=to=ga iu=sa=ne>,120,n qsjukudai irundo naigara qsjukudai irundoqtoga qiusane
1555906,1560160,<sjukudai> iru basu=ni=ja macigai minu=nki iri=jo,121,qsjukudai iru basunija macigai minunki irijo
1582111,1585371,<sjukudai> isjaru ttu ti angi nni,123,qsjukudai isjaru ttu ti angi nni
1586901,1588011,isjaru ttu,124,isjaru ttu
1589181,1590701,n isjaru ttu<=ttara>,125,n isjaru ttuqttara
1597771,1600411,<sjukudai> isjaru ttu=ja ti angi nni,126,qsjukudai isjaru ttuja ti angi nni
1606211,1607811,ti angi nni,127,ti angi nni
1614851,1616141,ti angi nni,128,ti angi nni
1662516,1664946,<sjukudai> isjaru ttu=ja ti angi nni,130,qsjukudai isjaru ttuja ti angi nni
1669947,1672857,ti angiri=jo <ano toki=ni=wa meeree=dattara>,131,ti angirijo qano qtokiniwa qmeereedattara
1672962,1675322,<sjukudai> isjaru ttu=ja ti angiri=jo,132,qsjukudai isjaru ttuja ti angirijo
1698052,1701262,nai nni buru <terebi=nu>,133,nai nni buru qterebinu
1705667,1707227,nu=ba aru=kaja=je,134,nuba arukajaje
1740077,1744317,dubi nni butaru <terebi>=nu <banggumi>=ja nu=ba ata=kaja=je,138,dubi nni butaru qterebinu qbanggumija nuba atakajaje
1753597,1755057,nu=ba ata=kaja=je,139,nuba atakajaje
1796937,1801007,dubi nnitaru <terebi banggumi>=ja nu=ba ata=kaja=je<=to=ga itteru=nde>,140,dubi nnitaru qterebi qbanggumija nuba atakajajeqtoga qitterunde
1805502,1809132,dubi nnitaru <terebi banggumi>=ja nu=ba ata=kaja=je,142,dubi nnitaru qterebi qbanggumija nuba atakajaje
