Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
18459,24109,ba-nta=nga tundiru mai=ni hurija=nki hiri=jo
26639,28389,tundiru mai=ni
32714,34634,hurija=nki hiri=jo
42454,44554,hurija=nki hiri=jo
69374,79094,ba-nta=nga kuru mai=nki (nui...) nui=ti=gara nui=ti=gara angami-nta=nga hurija=nki hi busa=daru=ndi ndi buru
86034,87334,xxx
90264,92874,hurija=nki hi busaru=ndi=du ndi buru
97649,100339,xxx
102454,104464,hi busaru=ndi=du ndi buru
110609,113529,hurija=nki hi busaru=ndi=du ndi buru
116899,118379,#NAME?
124999,127779,hi busaru=ndi=du ndi buru
163909,164739,dui
180774,181804,hu basu=ni
190309,192249,xxx
206989,210869,dui hai buru basu=ni=ja <denwa> ki=nna=jo
225249,226379,hai buru basu=ni=ja
228684,231884,dui hai buru basu=ni=ja <denwa> ki=nna=jo
250494,251394,muuru
273023,274803,xxx
276183,277703,katazukiri=jo
290473,292113,a katazukiri=jo<=to=ga iu>
310073,314253,nati buru angami ninsimjan=do
316143,317663,ninsimjan=do
320393,322603,m ninsimjan=do (nin...)
322868,324518,ninsimjan=do
355443,361253,angami=nga nati buru basu=ni <gjuunjuu> numamitan=do
367218,369108,angami=nga natita=ba
371103,374693,natita=ba <gjuunjuu> numamjan=do<=de=mo>
405813,407163,numamun=do<=to=wa>
413658,415278,xxx
415408,420698,angami=nki <gjuunjuu> numamjan=do 
423513,425433,nati buru basu=ni
427233,429463,<gjuunjuu> numamjan=do
444148,447558,(nati) buta=ba <gjuunjuu> numamjan=do<=to iu>
455043,457703,m nati nati=du buru<=to=ga iu>
463173,464593,nati=ngasi=ja
470803,472293,xxx
472718,477823,nati=ngasi=ja<=to=mo ieba> natita=ja <naitara=to=mo iu=ne>
486460,487790,numamirun=do
503445,507065,natita=ja <gjuunjuu> numamiri=jo<=wa iu=sa>
508955,510235,natita=ja
511075,512845,xxx
512980,514320,numamiri=jo
525420,528980,nati=ngasi=ja <gjuunjuu> numamiri=jo
533637,536117,numamiri=jo<=ttara meeree=ni>
561897,565267,<gjuunjuu nomasu=jo=to iu imi=ga> numamirun=do
587022,588062,n ki=nu ha=nga
605482,608852,ki=nu ha=nga uti si=ngasi=ja sabitsagu nai=du kirun=suja
615257,618877,uti=ngasi=ja sabitsagu nai=du kirun=suja
620587,621797,sabitsaru
624692,626302,m nai=du kirun=suja
656847,659157,ki=nu ha=nga uti si=ngasi=ja
661882,665927,ki=nu ha=nga uti=ngasi=ja sabitsagu nai=du kirun=suja<=to>
676817,681177,ki=nu ha=nga ki=nu ha=nga uti=ngasi=ja
694199,696709,ki=nu ha=nga utita=ja
698654,700624,kama=nki hirarirun=do<=to=ka>
708379,709309,uttaja
713164,714914,n ki=nu ha=nga utita=ja
715469,717239,u=nki ambi=ndi hirarirun=do
723064,726334,ki=nu ha=nga utita=ja ambi=ndi hirarirun=do
743219,747709,ki=nu ha=nga utita=ja katazukiri=jo katazukiri=jo<=to=wa ieru=sa>
774334,775904,a ki=nga buuru
776659,778769,ki=nu ha=nga buuru utu=bi
787134,788744,xxx
791759,796469,buuru uti=bi sabitsagu nai bun=suja sabitsa=du an=suja
835134,842081,umi <hun> dumi butaru ttu=ja umi <hun> dumi butaru ttu=ja
842125,843906,<hon=wa> sunguti<=tte=ga iu=jo>
846916,848653,nma=nki=ba hiru=kaja=je
852229,853112,ttu=ja
855275,857204,nma=nki=ba hiru=kaja=je
863702,865056,hiru=kaja=je
