Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
75950,79420,(ni?)=nu durai=nki wasi turasi ata=ba,9,ninu durainki wasi turasi ataba
79905,82395,maasiku wasi turasi ata=ba,10,maasiku wasi turasi ataba
95086,98946,ba-nta durai=nki atsumai turasi ata=ba,13,banta durainki atsumai turasi ataba
106075,107835,atsumai turasi ata=ba,15,atsumai turasi ataba
136230,137370,taa=n,17,taan
138810,140030,kunutan=djan,18,kunutandjan
143840,144610,kunuta,19,kunuta
145565,147825,taa=n taa=n kunutan,20,taan taan kunutan
154575,156705,taa=n <dare=mo konakatta>,22,taan qdaremo qkonakatta
169130,175780,taa ta=nga ta=ba ata=kaja ma umi umi uma=nki suru=nni=du bun=suja,23,taa tanga taba atakaja ma umi umi umanki surunnidu bunsuja
184290,185790,suru nni=du bun=suja,24,suru nnidu bunsuja
189870,191470,suru nni=du bun=suja,25,suru nnidu bunsuja
213725,215335,ta=nga uma=nki,27,tanga umanki
216390,218730,uma=nki suru nni=du bun=suja,28,umanki suru nnidu bunsuja
222951,226941,unu sikama=ja ta=nga=n irarirun=do,29,unu sikamaja tangan irarirundo
228890,231124,ta=nga=n irarirun=do,30,tangan irarirundo
241946,244129,nmi=n nmi=n,32,nmin nmin
246010,247998,uni=nu ttu=ja bun=do,33,uninu ttuja bundo
249916,251117,uni=nu ttu=ja,34,uninu ttuja
262134,263828,nma=nki=ba hiru=nga,36,nmankiba hirunga
273133,275107,nma=nki=n hi buranun=do,37,nmankin hi buranundo
276908,278172,nma=nki=n,38,nmankin
300255,304584,<hatuma-zima>=ni mingui nnita=nga ,40,qhatumazimani mingui nnitanga 
305608,307503,mingui nnita=nga,41,mingui nnitanga
311670,313580,mingui nnita=nga,42,mingui nnitanga
315136,316754,ta=n buranutan,43,tan buranutan
323193,324672,nnita=nga,45,nnitanga
332212,333522,nmi=n,47,nmin
335655,337304,ta=n buranutan,48,tan buranutan
344808,347072,<soo soo> mingui<=to itta mawaru>,49,qsoo qsoo minguiqto qitta qmawaru
365783,370858,nmi aruban unu ttu=nki tubataru nni=du bu=nga,50,nmi aruban unu ttunki tubataru nnidu bunga
383917,385550,unu ttu=nki,53,unu ttunki
388481,391008,tubataru=ndi=du umariru=nga,54,tubatarundidu umarirunga
393072,395552,tubataru=ndi=du umariru=nga,55,tubatarundidu umarirunga
416465,418576,unu maci=nu,58,unu macinu
439527,444426,unu maci=nu <sjoku-doo>=ja nma=n man=do,60,unu macinu qsjokudooja nman mando
445904,447260,man=do,61,mando
478571,480453,ttu=n haiminun=do<=to=ga iu>,64,ttun haiminundoqtoga qiu
484950,486568,ttu=n haiminun=do,65,ttun haiminundo
510578,512904,su nu=n kiranu=bi,66,su nun kiranubi
514529,515469,kiranu=bi,67,kiranubi
565314,567086,ataranu munu,68,ataranu munu
567848,569358,ataranu munu,69,ataranu munu
572377,573887,ataranu munu,70,ataranu munu
579101,581412,ataranu munu,71,ataranu munu
