Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
23580,25610,ami=ni nggai bu=nga=je <mate=jo>,1,amini nggai bungaje qmatejo
25695,27015,nu=ndi nda=ja,2,nundi ndaja
31090,32550,ami=ni nggai bu=nga,4,amini nggai bunga
40355,42185,ami=ni nggai bu=nga,6,amini nggai bunga
44157,45397,nggai bu=nga,7,nggai bunga
59116,60546,nu=ndi nda=ja,8,nundi ndaja
62941,64481,nggai bu=nga,9,nggai bunga
72511,74821,ami=ni nggai bu=nga,10,amini nggai bunga
78996,79856,nggai,11,nggai
80980,82480,nggai nggai,12,nggai nggai
84720,86170,nggai bu=nga,13,nggai bunga
110085,112985,nu=ndi nggai bu=nga,15,nundi nggai bunga
122555,127355,<kasa> mutiranu=ngasi=ja nggai=du kiru=do nggai=du kiru=do,16,qkasa mutiranungasija nggaidu kirudo nggaidu kirudo
133590,135310,nggai=du kiru=do,19,nggaidu kirudo
152250,155590,nggarun=do n nggarun=do<=to=ga iu=wake=sa>,21,nggarundo n nggarundoqtoga qiuwakesa
157180,158680,nggarun=do,22,nggarundo
161150,162570,nggarun=do,23,nggarundo
177100,179570,ami=ni nggai bun=do n,24,amini nggai bundo n
191070,193200,ami=ni nggatan=do n,26,amini nggatando n
193825,194975,nggatan=do,27,nggatando
212720,215480,kagi kagiranu=tu naranun=do,28,kagi kagiranutu naranundo
221015,222155,kagiranu=tu,30,kagiranutu
224945,226505,naranun=do,31,naranundo
230665,233085,nusi ttu=nga haisi=du kiru=do,32,nusi ttunga haisidu kirudo
233235,235145,<doroboo=wa> nusi ttu<=to=ga iu=sa>,33,qdoroboowa nusi ttuqtoga qiusa
243575,246165,nusi ttu=nga hai=du kiru=do,35,nusi ttunga haidu kirudo
303690,305910,ttami turasi hugarassa=do,45,ttami turasi hugarassado
340525,342125,kurusari=du butaru=ndi,49,kurusaridu butarundi
347155,348585,ta=nga aru=ban,50,tanga aruban
358425,361635,ttu=nga kurusarita=ndi=du ndi bun=suja,52,ttunga kurusaritandidu ndi bunsuja
361815,364795,ttu=nga kurusarita=ndi=du ndi bun=suja,53,ttunga kurusaritandidu ndi bunsuja
370330,373340,ttu=nga kurusaritan=ndi=du ndi bun=suja,54,ttunga kurusaritanndidu ndi bunsuja
410003,414333,utaritaru kurusaritaru atingai=do,57,utaritaru kurusaritaru atingaido
417893,420353,kurusaritaru atingai,58,kurusaritaru atingai
451193,452763,kurusaritan,62,kurusaritan
453308,456198,kurusarita=ndi=du ndi bun=suja,63,kurusaritandidu ndi bunsuja
458528,459918,ndi bun=suja,64,ndi bunsuja
482198,483108,kurusiti,65,kurusiti
494353,495523,ma muni=na,66,ma munina
498763,499883,ma muni=na,68,ma munina
500623,501863,ma muni=na,69,ma munina
502853,504303,nigura=du an=suja,70,niguradu ansuja
508578,509728,ma muni=na,71,ma munina
510463,511993,nigura=du an=suja,72,niguradu ansuja
520058,521628,ninta=daru=na,73,nintadaruna
523123,525983,ninta=daru=na daidubu=na,74,nintadaruna daidubuna
540868,543228,kacimasa=biti ninda-ninu=bi,76,kacimasabiti nindaninubi
543488,545908,kacimasa=biti ninda-ninu=bi,77,kacimasabiti nindaninubi
547518,549028,kacimasa=biti,78,kacimasabiti
550723,553193,ninda-ninu=bi ninda-ninu-tan,79,nindaninubi nindaninutan
559148,560958,ninda-ninu=bi,80,nindaninubi
588313,591083,kacimasa=bi ninda-ninu-tan=do,81,kacimasabi nindaninutando
594578,596888,ninda-ninutan=do,82,nindaninutando
597893,599963,nindaninutan=do,83,nindaninutando
602158,604238,nindaninutan=do,84,nindaninutando
621993,624912,kadanku <ka=wa> kadanku<=dakara=jo>,85,kadanku qkawa kadankuqdakarajo
625188,627078,kadanku=ni puitsari=ti,86,kadankuni puitsariti
634363,636963,e kadanku=ni puitsaritan=do,87,e kadankuni puitsaritando
642358,643682,kja=daru=na,88,kjadaruna
656502,659798,han ndamari=bi dami naranun=do,89,han ndamaribi dami naranundo
660831,662765,han ndamari=bi,90,han ndamaribi
665551,667761,ndamarita=ba ndamaritan,91,ndamaritaba ndamaritan
670214,672083,han ndamari=bi,92,han ndamaribi
699017,700252,dami naranun=do,94,dami naranundo
701405,703209,a dami naranun=do,95,a dami naranundo
758343,759830,han ndami=bi,99,han ndamibi
760949,762030,ndami,101,ndami
762707,764316,han ndami,102,han ndami
814214,816319,buri kimi turasi wari=jo,105,buri kimi turasi warijo
818581,820304,buri kimi turasi wari=jo,106,buri kimi turasi warijo
827943,830357,han ndami han ndami,107,han ndami han ndami
831506,833326,buri kimi turasi wari=jo,108,buri kimi turasi warijo
835479,836949,han ndami,109,han ndami
838107,840187,buri turasi wari=jo,110,buri turasi warijo
852212,853325,dana ttu=ja,111,dana ttuja
871894,873169,unu ttu=ja,112,unu ttuja
873879,876710,unu ttu=ja dana ttu=du an=suja,113,unu ttuja dana ttudu ansuja
890585,892120,dana munui<=to=ka>,114,dana munuiqtoka
892560,896730,<warui kotoba=no toki=wa> dana munui ki=na=jo <=to=ka iu=kedo>,115,qwarui qkotobano qtokiwa dana munui kinajo qtoka qiukedo
897340,898920,dana ttu=du an=suja,116,dana ttudu ansuja
915358,917498,dutu=nu munu=du aru=nggara,117,dutunu munudu arunggara
918758,920708,ki kkai turasi wari=jo,118,ki kkai turasi warijo
925023,926773,ki kkai turasi wari=jo,119,ki kkai turasi warijo
945728,948568,unu munu duttu=nu munu=du an=suja,120,unu munu duttunu munudu ansuja
1088468,1090358,tuguutu=nu duguru=nki,128,tuguutunu dugurunki
1103073,1104393,tuguutu=nu,129,tuguutunu
1104693,1108143,tuguutu=nu duguru=nki hibusan=suja,130,tuguutunu dugurunki hibusansuja
1168063,1173393,unu ttu=ja araagu tuguutui=du bun=suja<=to iu=wake>,135,unu ttuja araagu tuguutuidu bunsujaqto qiuwake
1177158,1178908,unu ttu=ja araagu,136,unu ttuja araagu
1179833,1181563,tuguutui=du bun=suja,137,tuguutuidu bunsuja
1201593,1203043,tuguutui,140,tuguutui
1221833,1223743,huruntai tugutui,142,huruntai tugutui
1224028,1228598,huruntai buru ttu=n huruntai buru duguru=nki hi-busan=suja,143,huruntai buru ttun huruntai buru dugurunki hibusansuja
1299870,1303897,ku=nni=nu ku=nni irarirun=do<=to iu toki=wa>,152,kunninu kunni irarirundoqto qiu qtokiwa
1312408,1314550,ku=nni isi wai=ni,153,kunni isi waini
1320248,1321976,ku=nni irarirun=do,154,kunni irarirundo
1377450,1379335,u=nni=nu ttu=nki tubai,155,unninu ttunki tubai
1387645,1388430,nnu=na,156,nnuna
1394863,1397462,a unu ttu=nki tubai nnanun=do,157,a unu ttunki tubai nnanundo
1411328,1413442,ku=nni=nu ttu=nki tubai nnu=na,158,kunninu ttunki tubai nnuna
1429735,1431906,kaci u=ni maisa=nga,159,kaci uni maisanga
1432291,1434961,maisagu ai=du bu=nga=je,160,maisagu aidu bungaje
1436311,1437382,maisagu,161,maisagu
1454068,1455110,ku=nni,163,kunni
1455403,1459444,kaci ku=nni maisagu ai bu=nga=je <n kore=mo tsukaeru>,164,kaci kunni maisagu ai bungaje qn qkoremo qtsukaeru
1461821,1462635,ku=nni,165,kunni
1466626,1468297,u=nni ku=nni<=to>,166,unni kunniqto
1470645,1473557,unni isi kunni isi<=to iu kotoba=kara>,167,unni isi kunni isiqto qiu qkotobakara
1483072,1484972,nu=nni=nu ttu=ba,168,nunninu ttuba
1514693,1519564,maci maci=na macjaru=ni,169,maci macina macjaruni
1519628,1522199,uni=nu ttu=ba macja=nga,170,uninu ttuba macjanga
1544383,1546640,nu=ba maci=ja <ano toki=ni=wa>,171,nuba macija qano qtokiniwa
1550296,1551710,nu=ba maci=ja,173,nuba macija
1558300,1559700,nu=ba maci=ja,174,nuba macija
1565240,1567860,nu=ba maci=du a=nga,175,nuba macidu anga
1571070,1575530,nu=ba maci=du a=nga matsu matsu=du <tsukaeru=kara=jo>,176,nuba macidu anga matsu matsudu qtsukaerukarajo
1579580,1581600,nu=ba maci a=nga,177,nuba maci anga
1595750,1597270,nu=ba maci=ja,178,nuba macija
1603250,1604970,maci a=nga<=to>,179,maci angaqto
1624910,1627840,u=tu karu=tu nu=ba maci=ja <=to=wa tsukau=sa=ne>,180,utu karutu nuba macija qtowa qtsukausane
1629190,1630650,nu=ba maci a=nga,181,nuba maci anga
1641185,1643975,u=tu ku=tu u=tu ku=tu,182,utu kutu utu kutu
