Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
23580,25610,ami=ni nggai bu=nga=je <mate=jo>
25695,27015,nu=ndi nda=ja
28525,30135,xxx
31090,32550,ami=ni nggai bu=nga
34530,36300,xxx
40355,42185,ami=ni nggai bu=nga
44157,45397,nggai bu=nga
59116,60546,nu=ndi nda=ja
62941,64481,nggai bu=nga
72511,74821,ami=ni nggai bu=nga
78996,79856,nggai
80980,82480,nggai nggai
84720,86170,nggai bu=nga
98805,100165,xxx
110085,112985,nu=ndi nggai bu=nga
122555,127355,<kasa> mutiranu=ngasi=ja nggai=du kiru=do nggai=du kiru=do
129005,130375,hiranu=ngasi=ja
130570,132070,xxx
133590,135310,nggai=du kiru=do
137280,139660,xxx
152250,155590,nggarun=do n nggarun=do<=to=ga iu=wake=sa>
157180,158680,nggarun=do
161150,162570,nggarun=do
177100,179570,ami=ni nggai bun=do n
181345,182755,butan=do<=ttara>
191070,193200,ami=ni nggatan=do n
193825,194975,nggatan=do
212720,215480,kagi kagiranu=tu naranun=do
216930,219200,xxx
221015,222155,kagiranu=tu
224945,226505,naranun=do
230665,233085,nusi ttu=nga haisi=du kiru=do
233235,235145,<doroboo=wa> nusi ttu<=to=ga iu=sa>
237175,238975,xxx
243575,246165,nusi ttu=nga hai=du kiru=do
253710,255530,xxx
257080,259130,xxx
272035,273805,xxx
274830,276260,baci=du butaru
280605,281975,baci=du butaru
283580,284830,baci=du
285675,287895,baci=du butaru
291485,293175,araagu hugarassa
300450,302150,araagu hugarassa
303690,305910,ttami turasi hugarassa=do
310150,312650,xxx
333750,335240,<njuusu>=ni=ja
337815,339335,<njuusu>=ni=ja
340525,342125,kurusari=du butaru=ndi
347155,348585,ta=nga aru=ban
354920,356510,<njuusu>=ni=ja
358425,361635,ttu=nga kurusarita=ndi=du ndi bun=suja
361815,364795,ttu=nga kurusarita=ndi=du ndi bun=suja
370330,373340,ttu=nga kurusaritan=ndi=du ndi bun=suja
376480,378910,#NAME?
406783,408423,utari-taru atingai
410003,414333,utaritaru kurusaritaru atingai=do
417893,420353,kurusaritaru atingai
425753,426903,atingai
429958,432558,<utagai=o> atingai<=to iu=sa=ne>
440458,441488,utaritaru
451193,452763,kurusaritan
453308,456198,kurusarita=ndi=du ndi bun=suja
458528,459918,ndi bun=suja
482198,483108,kurusiti
494353,495523,ma muni=na
495938,497548,xxx
498763,499883,ma muni=na
500623,501863,ma muni=na
502853,504303,nigura=du an=suja
508578,509728,ma muni=na
510463,511993,nigura=du an=suja
520058,521628,ninta=daru=na
523123,525983,ninta=daru=na daidubu=na
527363,528573,daidubu=na
540868,543228,kacimasa=biti ninda-ninu=bi
543488,545908,kacimasa=biti ninda-ninu=bi
547518,549028,kacimasa=biti
550723,553193,ninda-ninu=bi ninda-ninu-tan
559148,560958,ninda-ninu=bi
588313,591083,kacimasa=bi ninda-ninu-tan=do
594578,596888,ninda-ninutan=do
597893,599963,nindaninutan=do
602158,604238,nindaninutan=do
621993,624912,kadanku <ka=wa> kadanku<=dakara=jo>
625188,627078,kadanku=ni puitsari=ti
634363,636963,e kadanku=ni puitsaritan=do
642358,643682,kja=daru=na
656502,659798,han ndamari=bi dami naranun=do
660831,662765,han ndamari=bi
665551,667761,ndamarita=ba ndamaritan
670214,672083,han ndamari=bi
685449,686863,damitan=do
699017,700252,dami naranun=do
701405,703209,a dami naranun=do
709489,710155,agaja
724763,725763,agaja
727416,730316,agaja unnjaranun=do
758343,759830,han ndami=bi
760044,760719,han
760949,762030,ndami
762707,764316,han ndami
767883,770020,barasa=nga=je <sumimasen>
810859,812127,buri<=to=ga iu=sa>
814214,816319,buri kimi turasi wari=jo
818581,820304,buri kimi turasi wari=jo
827943,830357,han ndami han ndami
831506,833326,buri kimi turasi wari=jo
835479,836949,han ndami
838107,840187,buri turasi wari=jo
852212,853325,dana ttu=ja
871894,873169,unu ttu=ja
873879,876710,unu ttu=ja dana ttu=du an=suja
890585,892120,dana munui<=to=ka>
892560,896730,<warui kotoba=no toki=wa> dana munui ki=na=jo <=to=ka iu=kedo>
