Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
50075,56835,anu=ja angami=nga dunan kutuba,1,anuja angaminga dunan kutuba
60785,62395,narami busan,2,narami busan
62500,64720,ttami busan<=de=mo ii=si=ne>,3,ttami busanqdemo qiisine
76820,78690,ttami busan<=to ittara>,4,ttami busanqto qittara
80815,81995,narai busan<=ttara>,5,narai busanqttara
100160,101690,kuba nsaru munu,7,kuba nsaru munu
103105,103865,kuba,8,kuba
104545,105945,nsaru munu,9,nsaru munu
134365,135265,nda=nga,11,ndanga
135785,136765,nda=nga,12,ndanga
142445,144275,hai turaba nsa=nga=je,14,hai turaba nsangaje
151760,153650,hai turata=ja nsa=nga=je,15,hai turataja nsangaje
153765,154945,hai turata=ja,16,hai turataja
187068,189338,igurati kagaru=kaja=je,18,igurati kagarukajaje
195593,196993,kagaru=kaja=je,19,kagarukajaje
225513,227983,nni=si=ja <jo-zikan> kagarun,20,nnisija qjozikan kagarun
250362,252092,<san-zjup-pun>=du kagaru,22,qsanzjuppundu kagaru
275137,278657,<satsuma-imo> ma ttuci turai,23,qsatsumaimo ma ttuci turai
290584,292949,a dunan munui=si=ja=jo,24,a dunan munuisijajo
348669,350319,unu ttu=ja,28,unu ttuja
355893,358808,taga=sa=nga (unsuja=ndi=ndu=nga=du?),29,tagasanga unsujandindungadu
359726,361222,unu ttu=ja,30,unu ttuja
365039,366293,tagan=suja,31,tagansuja
367371,369307,unu ttu=ja tagan=suja,32,unu ttuja tagansuja
375203,378216,ki=nni ki=nni tagan=suja,34,kinni kinni tagansuja
415460,418254,kanu ttu=nga isi buru=nni,36,kanu ttunga isi burunni
418914,420245,isi turai,37,isi turai
428395,430771,isi buru=nni isi turai,39,isi burunni isi turai
432850,433994,isi turai,40,isi turai
458478,461371,<zjuu-zi> kuta=si si turai,41,qzjuuzi kutasi si turai
463675,464852,si turai,42,si turai
469521,470720,kutasi,43,kutasi
471374,472859,si turai,44,si turai
482675,485029,<zjuu-zi> kuta bu=kaja,45,qzjuuzi kuta bukaja
492178,493883,<zjuu-zi> kuta,46,qzjuuzi kuta
494295,496275,<zjuu-zi> kuta bu=kaja,47,qzjuuzi kuta bukaja
503622,506295,<zjuu-zi> kuta=si si turai,48,qzjuuzi kutasi si turai
507235,509248,<zjuu-zi> kuta bu=kaja,49,qzjuuzi kuta bukaja
535706,539716,<zjuu-zi> kuta=si unu munu kati turai,50,qzjuuzi kutasi unu munu kati turai
553796,555216,ma katjan=do,51,ma katjando
557426,558556,katjan=do,52,katjando
600374,602544,hanasi kiru=ndi umarirun,57,hanasi kirundi umarirun
611899,614179,kirariru=ndi=du umariru,58,kirarirundidu umariru
646829,649299,nai=gara i hu=ndi=du isi buru,59,naigara i hundidu isi buru
670594,672284,nai=du i haru,62,naidu i haru
674279,675389,nai=du,63,naidu
682229,684909,nai=du i haru,66,naidu i haru
693789,699699,nai=du i haru,67,naidu i haru
701714,703864,nai=du i hai cimasjaru ,68,naidu i hai cimasjaru 
706634,707584,cimasjaru,69,cimasjaru
712359,713959,i hai cimasjaru,70,i hai cimasjaru
736199,737989,ngguriru=ndi=du isi butaru,71,nggurirundidu isi butaru
738204,739254,ngguriru,72,ngguriru
744994,745954,ngguriru,73,ngguriru
774394,775504,ngguriru,75,ngguriru
777369,779639,<suberu=wa> ngguriru<=dakara=jo>,76,qsuberuwa ngguriruqdakarajo
783504,784524,nai,77,nai
786084,787904,ngguriru=du buru=dattaru,78,nggurirudu burudattaru
788274,789354,nggurirun,79,nggurirun
789454,790694,ngguri=duru,80,ngguriduru
790874,792854,ngguriru=du buru=datana,81,nggurirudu burudatana
796174,797424,nggurirantan,82,nggurirantan
801449,803689,ngguriru=ndi=du ita=nga,83,nggurirundidu itanga
803799,805179,ngguriranutan,84,ngguriranutan
806549,807789,ngguriranutan,85,ngguriranutan
825979,827719,nggurirun,88,nggurirun
832259,834419,nggurirun=ndi=du isi butan=suja,90,nggurirunndidu isi butansuja
859979,862279,nai (u...) uwai=ndagi=daru,91,nai u uwaindagidaru
866999,867939,nai,93,nai
875010,877015,nai uwai=ndagi=du,96,nai uwaindagidu
962975,964455,kutuba=du,105,kutubadu
1001852,1005912,uni ita=ja dudi=nki naru=ndi umarirun,111,uni itaja dudinki narundi umarirun
1019227,1021667,dudi=ni naru=ndi umarirun,116,dudini narundi umarirun
1052037,1055607,dudi=ndi dudi=nki naru=ndi umarirun,120,dudindi dudinki narundi umarirun
1069767,1072707,dudi=nki naru=ndi umarirun,124,dudinki narundi umarirun
1113247,1115507,dudi=nki nai=ndagi an,126,dudinki naindagi an
1135752,1137362,dudi nai bun=do,130,dudi nai bundo
1139398,1142858,nda=ja dudi nai bun=do<=to=mo iu=sa=ne>,131,ndaja dudi nai bundoqtomo qiusane
1177818,1181388,kanu ttu=ja uni=nu kutu,133,kanu ttuja uninu kutu
1182333,1183883,ndi-gisan=do,134,ndigisando
1190373,1192303,ndi-gisan=do,135,ndigisando
1193563,1194813,ndi-gisan=do,136,ndigisando
1219258,1220958,kanu duguru=ja,139,kanu duguruja
1253948,1257048,kama=ja abjaru=nni=du bu=nga=je,141,kamaja abjarunnidu bungaje
1333597,1335857,unu ttu=ja dudi=nni=du bu=nga=je,152,unu ttuja dudinnidu bungaje
1356552,1357822,maasiku,154,maasiku
1359907,1363597,hu=nni=du bu=nga=je maasiku hu=nni=du bu=nga=je,155,hunnidu bungaje maasiku hunnidu bungaje
1389612,1391052,maasiku hai,159,maasiku hai
1394542,1396272,hai ngibusa=nga=je,160,hai ngibusangaje
1396387,1397957,hai ngibusa=nga=je,161,hai ngibusangaje
1399512,1401112,hai ngibusa=nga=je,162,hai ngibusangaje
1412242,1417432,maasiku hai ngibusa=nga=je hai ngibusa=nga=je<=to=ga iu>,163,maasiku hai ngibusangaje hai ngibusangajeqtoga qiu
