Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
50075,56835,anu=ja angami=nga dunan kutuba
60785,62395,narami busan
62500,64720,ttami busan<=de=mo ii=si=ne>
76820,78690,ttami busan<=to ittara>
80815,81995,narai busan<=ttara>
92985,97975,anu=ja duci=nga uma=nki
100160,101690,kuba nsaru munu
103105,103865,kuba
104545,105945,nsaru munu
131595,132775,anu=ja
134365,135265,nda=nga
135785,136765,nda=nga
140615,141615,hai
142445,144275,hai turaba nsa=nga=je
151760,153650,hai turata=ja nsa=nga=je
153765,154945,hai turata=ja
182823,184913,dunan=nki hiru=ndi
187068,189338,igurati kagaru=kaja=je
195593,196993,kagaru=kaja=je
225513,227983,nni=si=ja <jo-zikan> kagarun
243588,245728,<san-zjup-pun> hirun
250362,252092,<san-zjup-pun>=du kagaru
275137,278657,<satsuma-imo> ma ttuci turai
290584,292949,a dunan munui=si=ja=jo
293119,294208,unti
295016,296281,unti<=to=ga iu>
305888,307351,unti<=de n>
348669,350319,unu ttu=ja
355893,358808,taga=sa=nga (unsuja=ndi=ndu=nga=du?)
359726,361222,unu ttu=ja
365039,366293,tagan=suja
367371,369307,unu ttu=ja tagan=suja
369450,371386,xxx
375203,378216,ki=nni ki=nni tagan=suja
379723,380449,#NAME?
415460,418254,kanu ttu=nga isi buru=nni
418914,420245,isi turai
424793,428082,n isi buru=nni <jatte iru=joo=ni>
428395,430771,isi buru=nni isi turai
432850,433994,isi turai
458478,461371,<zjuu-zi> kuta=si si turai
463675,464852,si turai
469521,470720,kutasi
471374,472859,si turai
482675,485029,<zjuu-zi> kuta bu=kaja
492178,493883,<zjuu-zi> kuta
494295,496275,<zjuu-zi> kuta bu=kaja
503622,506295,<zjuu-zi> kuta=si si turai
507235,509248,<zjuu-zi> kuta bu=kaja
535706,539716,<zjuu-zi> kuta=si unu munu kati turai
553796,555216,ma katjan=do
557426,558556,katjan=do
576566,579846,su dunan=nu
580796,582026,<bunka>=ni
587374,590574,hanasi hiru=ndi umariru
595934,598154,dunan=nu <bunka>=ni
600374,602544,hanasi kiru=ndi umarirun
611899,614179,kirariru=ndi=du umariru
646829,649299,nai=gara i hu=ndi=du isi buru
651634,652504,isi buru
664229,665139,i
670594,672284,nai=du i haru
674279,675389,nai=du
676484,677394,i
677949,679129,haru
682229,684909,nai=du i haru
693789,699699,nai=du i haru
701714,703864,nai=du i hai cimasjaru 
706634,707584,cimasjaru
712359,713959,i hai cimasjaru
736199,737989,ngguriru=ndi=du isi butaru
738204,739254,ngguriru
744994,745954,ngguriru
749214,750314,#NAME?
774394,775504,ngguriru
777369,779639,<suberu=wa> ngguriru<=dakara=jo>
783504,784524,nai
786084,787904,ngguriru=du buru=dattaru
788274,789354,nggurirun
789454,790694,ngguri=duru
790874,792854,ngguriru=du buru=datana
796174,797424,nggurirantan
801449,803689,ngguriru=ndi=du ita=nga
803799,805179,ngguriranutan
806549,807789,ngguriranutan
819129,820359,udubusan
821884,823934,a udubusa=nga=je
825979,827719,nggurirun
828209,830209,#NAME?
832259,834419,nggurirun=ndi=du isi butan=suja
