Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
22833,24900,ttuci ttaci miici<=to iu>,1,ttuci ttaci miiciqto qiu
25696,26784,tun<=made=ne>,2,tunqmadene
39008,40784,ttuci ttaci<=to kazoeru=no>,5,ttuci ttaciqto qkazoeruno
44361,50541,miici duuci icici muuci nanaci daaci kugunuci tuu<=to>,7,miici duuci icici muuci nanaci daaci kugunuci tuuqto
101789,102746,muci,8,muci
104016,105155,muci<=tte iu>,9,muciqtte qiu
121391,123555,nun nun nun<=to>,10,nun nun nunqto
128455,129138,tsan,11,tsan
130374,130927,tsan,12,tsan
177107,178449,umi=nga tundi<=tte>,15,uminga tundiqtte
181684,184848,umi umi=nga tundi=du buru=do,16,umi uminga tundidu burudo
187847,189189,tundi bun=do,17,tundi bundo
204375,206797,umi umi=nga tundi bu,18,umi uminga tundi bu
219078,220377,tsaariru,19,tsaariru
221930,225530,tsaari buru=du buru=gara (o) umi tundi bun=do,20,tsaari burudu burugara o umi tundi bundo
225660,226880,tsaari buru,21,tsaari buru
230230,231480,tsaari bun,22,tsaari bun
256595,258725,<are=wa> min min min,23,qarewa min min min
278990,283120,umi=nga ndi (bu...) umi=nga ndi bun=do,25,uminga ndi bu uminga ndi bundo
599938,601788,kitangi<=to=ga=jo>,31,kitangiqtogajo
628965,632425,kanu ttu=nu <kega> daburaagi=du bun=suja,34,kanu ttunu qkega daburaagidu bunsuja
658740,661200,<kiri> kagai=du bu=nga=je<=to iu=kara>,36,qkiri kagaidu bungajeqto qiukara
664158,666728,<kiri> kagai bun=suja<=to=ka=ne>,37,qkiri kagai bunsujaqtokane
739613,740993,tidan-ami=ja,38,tidanamija
743916,745876,<taiyoo=no=to> tidan<=to iu=kara>,39,qtaiyoonoto tidanqto qiukara
746116,747126,tidan-ami,40,tidanami
749211,750381,tidan-ami,41,tidanami
768194,769454,tidan-ami,42,tidanami
772214,773574,tidan,43,tidan
775154,776354,tidan-ami,44,tidanami
1013614,1014604,minuka,48,minuka
1014939,1016429,minuka,49,minuka
1019344,1020284,minuka,50,minuka
1026036,1027776,maju<=mo aru=jo>,51,majuqmo qarujo
1053996,1055066,minumai,53,minumai
1081141,1082871,maju maju,54,maju maju
1184376,1186036,nnari<=to=ga iu=sa=ne>,55,nnariqtoga qiusane
1186106,1187426,nnari hun,56,nnari hun
1221141,1223641,karati bunsai karati bun=do,58,karati bunsai karati bundo
1223761,1225741,dunudu=si karati bunsai,59,dunudusi karati bunsai
1231541,1233771,dunudu=si karati bunsai,61,dunudusi karati bunsai
1233826,1235336,karati bunsai,62,karati bunsai
1237641,1239081,karati bunsai,63,karati bunsai
1259408,1261738,din=nga ma minu=nki nan=do,65,dinnga ma minunki nando
1267903,1270203,din=nga ma minu=nki nansai,66,dinnga ma minunki nansai
1274358,1276248,minu=nki nansai,68,minunki nansai
1278223,1279793,minu=nki nansai,69,minunki nansai
1416388,1417918,cici,73,cici
1419673,1421053,cici,74,cici
1534960,1536670,cici<=to=mo iu=ne>,75,ciciqtomo qiune
1537955,1538935,cici,76,cici
1706206,1707006,kui,81,kui
1717666,1718786,muriru,82,muriru
1720656,1721756,murirun,83,murirun
1744746,1745786,murirun,84,murirun
1746846,1748076,murirun,85,murirun
1763111,1766781,murirun murirun muranu,86,murirun murirun muranu
1791586,1793656,min itatin,87,min itatin
1794831,1797711,min itatin<=to=mo iu=si>,88,min itatinqtomo qiusi
1800521,1802881,kagiri<=to=mo iu=si>,89,kagiriqtomo qiusi
1884631,1887991,<sakatoru hito=wa> isun ttu=sa=ne,92,qsakatoru qhitowa isun ttusane
1888561,1890511,isun ttu,93,isun ttu
1891886,1893306,isun ttu,94,isun ttu
1895536,1896156,ttu,96,ttu
1904876,1906586,nni=nu ttu,97,nninu ttu
1907771,1910531,nni=nu ttu,98,nninu ttu
1922521,1923471,ttu ttu,99,ttu ttu
1925316,1925936,ttu,100,ttu
2119332,2120662,kuci-buni,103,kucibuni
2123117,2124177,kuci-buni,104,kucibuni
2130067,2131167,kuci-buni,105,kucibuni
2138037,2141017,kuci-bu...buni,106,kucibubuni
2142507,2146147,kuci-buni,107,kucibuni
2171587,2172967,min amiru,108,min amiru
2193577,2195837,angami-nta min,112,angaminta min
2246873,2248223,ci=nga tundi=du buru,115,cinga tundidu buru
2251208,2252828,ci=nga tundi=du buru,116,cinga tundidu buru
2256063,2257403,ci=nga tundi=du buru,117,cinga tundidu buru
2261267,2262607,ci=nga,118,cinga
2266448,2267578,ci=nga mui=du buru,119,cinga muidu buru
2277527,2280827,<ningen=no oppai=ni=mo> ci<=to=ga iu=wake=sa>,120,qningenno qoppainimo ciqtoga qiuwakesa
2302478,2305478,hibida=gara ci nbui=du buru,121,hibidagara ci nbuidu buru
2306978,2308098,nbui=du buru,122,nbuidu buru
2310968,2311588,nburu,123,nburu
2321440,2322978,ci nbui=du bu,125,ci nbuidu bu
2341676,2343006,ci hami=du buru,126,ci hamidu buru
