Begin Time - msec,End Time - msec,Yonaguni
22833,24900,ttuci ttaci miici<=to iu>
25696,26784,tun<=made=ne>
32045,33699,dumun<=to iu=sa>
34399,35205,dumun
39008,40784,ttuci ttaci<=to kazoeru=no>
41440,42293,dumun
44361,50541,miici duuci icici muuci nanaci daaci kugunuci tuu<=to>
101789,102746,muci
104016,105155,muci<=tte iu>
121391,123555,nun nun nun<=to>
128455,129138,tsan
130374,130927,tsan
170997,171684,umi
175381,176115,umi
177107,178449,umi=nga tundi<=tte>
181684,184848,umi umi=nga tundi=du buru=do
187847,189189,tundi bun=do
204375,206797,umi umi=nga tundi bu
219078,220377,tsaariru
221930,225530,tsaari buru=du buru=gara (o) umi tundi bun=do
225660,226880,tsaari buru
230230,231480,tsaari bun
256595,258725,<are=wa> min min min
264200,266940,unnaga unnaga<=to>
278990,283120,umi=nga ndi (bu...) umi=nga ndi bun=do
340361,342631,m hiiru
360817,363687,<mukoo=de=wa> hiiru<=to iu hiiru
474193,475623,dimimi
476868,478588,dimimi
484958,485918,dimimi
599938,601788,kitangi<=to=ga=jo>
603800,606660,xxx
616010,618380,xxx
628965,632425,kanu ttu=nu <kega> daburaagi=du bun=suja
635065,636335,xxx
658740,661200,<kiri> kagai=du bu=nga=je<=to iu=kara>
664158,666728,<kiri> kagai bun=suja<=to=ka=ne>
739613,740993,tidan-ami=ja
743916,745876,<taiyoo=no=to> tidan<=to iu=kara>
746116,747126,tidan-ami
749211,750381,tidan-ami
768194,769454,tidan-ami
772214,773574,tidan
775154,776354,tidan-ami
912434,913264,xxx
921319,922549,xxx
923594,924454,buja
1013614,1014604,minuka
1014939,1016429,minuka
1019344,1020284,minuka
1026036,1027776,maju<=mo aru=jo>
1049701,1051481,xxx
1053996,1055066,minumai
1081141,1082871,maju maju
1184376,1186036,nnari<=to=ga iu=sa=ne>
1186106,1187426,nnari hun
1199586,1200616,hun=do<=to>
1221141,1223641,karati bunsai karati bun=do
1223761,1225741,dunudu=si karati bunsai
1227811,1229011,xxx
1231541,1233771,dunudu=si karati bunsai
1233826,1235336,karati bunsai
1237641,1239081,karati bunsai
1250061,1251981,bun=do<=to=mo iu=sa=ne>
1259408,1261738,din=nga ma minu=nki nan=do
1267903,1270203,din=nga ma minu=nki nansai
1271043,1272613,din=nga din
1274358,1276248,minu=nki nansai
1278223,1279793,minu=nki nansai
1309718,1313128,bikirun bikirun<=to=ga iu=kedo>
1324603,1326533,bikkirun=do bikkirun
1344938,1346078,ujubi
1416388,1417918,cici
1419673,1421053,cici
1534960,1536670,cici<=to=mo iu=ne>
1537955,1538935,cici
1563461,1565361,xxx
1565611,1567541,xxx
1574326,1579876,xxx
1579931,1581601,xxx
1706206,1707006,kui
1717666,1718786,muriru
1720656,1721756,murirun
1744746,1745786,murirun
1746846,1748076,murirun
1763111,1766781,murirun murirun muranu
1791586,1793656,min itatin
1794831,1797711,min itatin<=to=mo iu=si>
1800521,1802881,kagiri<=to=mo iu=si>
1815071,1816101,amadu
1817866,1818736,xxx
1884631,1887991,<sakatoru hito=wa> isun ttu=sa=ne
1888561,1890511,isun ttu
1891886,1893306,isun ttu
1893556,1894596,isun
1895536,1896156,ttu
1904876,1906586,nni=nu ttu
1907771,1910531,nni=nu ttu
1922521,1923471,ttu ttu
1925316,1925936,ttu
2093947,2097477,dingiri dingiri<=to=mo iu=kedo>
2099937,2101307,dingiri
2119332,2120662,kuci-buni
2123117,2124177,kuci-buni
2130067,2131167,kuci-buni
2138037,2141017,kuci-bu...buni
2142507,2146147,kuci-buni
2171587,2172967,min amiru
2173307,2174617,xxx
2174682,2175712,xxx
2183137,2184577,xxx
2193577,2195837,angami-nta min
2201567,2204527,ansimirun
2235527,2241687,xxx
2246873,2248223,ci=nga tundi=du buru
2251208,2252828,ci=nga tundi=du buru
2256063,2257403,ci=nga tundi=du buru
2261267,2262607,ci=nga
2266448,2267578,ci=nga mui=du buru
2277527,2280827,<ningen=no oppai=ni=mo> ci<=to=ga iu=wake=sa>
2302478,2305478,hibida=gara ci nbui=du buru
2306978,2308098,nbui=du buru
2310968,2311588,nburu
2318828,2319788,hibida=gara
2321440,2322978,ci nbui=du bu
2341676,2343006,ci hami=du buru
2346120,2347680,ci hami=du buru
2350311,2351551,ci hami=du buru=do
2357311,2358781,ci takiri=jo
2362731,2363931,ci takiri=jo
2379661,2380551,ci takiri=jo
2408176,2410546,ci=nga atsa nai bun=su=ja
2626224,2628114,angami=nti ci hamiri=jo
2632296,2633576,ci hamiri=jo
2640016,2641366,ci takiri=jo
2642912,2644414,ci takiri=jo
2644726,2646766,takiri=jo ci takiri=jo
2647893,2648303,ci
2746771,2748081,nta
2750436,2751576,nta
2766276,2767576,nta
2768416,2769766,nmi=jo
2770081,2771471,nmi=jo<=to iu=desho>
2773346,2776176,nta kiri=jo
2779901,2781301,nmi=jo<=to ittara>
2785251,2786351,nta
2786731,2787671,nmi=jo
2789341,2790371,kirai=jo
2970316,2971736,unu ttu=ja
2972366,2976570,unna=ni=du bu=ndindo<=to=ka=jo>
2977978,2981228,unu ttu=ja unna=ni=du buru=do <okinawa=nka>
2983933,2985563,unna=ni=du buru=do
3000878,3002888,xxx
3002953,3004363,ndari buru=do
3008798,3009928,burun=di
3010793,3011963,ndari buru
3014718,3015878,ndari buru
3024598,3025728,xxx
3049033,3050323,ci buru=do
3053528,3054688,ci ci
3055528,3056868,ci buru=do
3060228,3063248,kanan kanan cimi=du buru=do
3065998,3067048,kanan
3067213,3070313,<kocci=ga=wo kami=ni=wa> kanan<=to=ga iu=kara>
3070473,3072803,kanan ci buru=do
3083388,3086598,<karijusi>=du ci buru=do <ano toki=wa>
3088123,3090373,<karijusi>=du buru=do
3100263,3102293,<karijusi>=du ci buru=do
3105753,3107723,kanan=du buri
3108138,3109338,cci buru=do
3109418,3112298,kanan=du cimi buru=do<=to=ga ano toki=wa>
3113298,3115358,cimi buru=do<=to itte>
3127228,3130148,<kono> kanan ci buru=do<=to>
3146788,3150108,kanan kanan ci=du buru=do
3150538,3153398,kanan cimi=du buru=do<=to iu=sa=ne>
3153528,3154458,cimi=du
3155523,3158513,(ndu) cimi=du<=to koo agete iru>
3158828,3161138,kanan cimi=du buru=do
3161683,3164083,ci mujasi=du buru=do
3168093,3170143,ci mujasi=du buru=do
3172028,3174018,mujasi=du buru=do
3194583,3195873,nma=nu hura
3198928,3200718,nma=nu hura
3211423,3214638,nma=nu hura=du kai suru=du
3230443,3235163,<sookoo>=nki nni=ju (tugi)=jo<=to=ka soo are=dakara>
3235313,3238503,<sookoo>=nki nni=ju (tugi)=jo
3239843,3240677,nni
3261410,3263440,xxx
3264645,3267305,xxx
