Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
28200,30000,i=ja ninditi=ja,1,ija ninditija
47220,49080,haiti=ja ninditi=ja,6,haitija ninditija
78345,82065,haitija nindi bagai=du buru<=to=ka iu=sa=ne>,8,haitija nindi bagaidu buruqtoka qiusane
82695,85135,n haitija ninditija,9,n haitija ninditija
93785,96085,ninditi bagai=du buru,10,ninditi bagaidu buru
117595,119805,ki aru basu=ni,11,ki aru basuni
124137,125627,kkai turai,12,kkai turai
132394,135544,n ki aru basu=ni sabun kkai wari,13,n ki aru basuni sabun kkai wari
138319,140169,kkai wari<=to>,14,kkai wariqto
142614,144124,sabun kkai wari,15,sabun kkai wari
152279,153919,ti aru basu=ni=ja,16,ti aru basunija
327234,331774,kkai=datana<=to iu=no=wa soo nani nani si=nagara=to iu> ,36,kkaidatanaqto qiunowa qsoo qnani qnani qsinagarato qiu 
394988,397918,i hai=datana nu ki bun=do,43,i haidatana nu ki bundo
600420,601920,ti arai=ti,60,ti araiti
621160,628455,e unu ttu=ja sikama kiranu=ti n sagi=bagai=du numi buru,62,e unu ttuja sikama kiranuti n sagibagaidu numi buru
632787,634417,sikama kiranu=ti,63,sikama kiranuti
637042,638822,sagi=bagai=du numi buru,64,sagibagaidu numi buru
642984,644954,sagi=bagai=du numi buru,65,sagibagaidu numi buru
653942,655392,sikama kiranu=ti,67,sikama kiranuti
657877,659857,sagi=bagai=du numi buru,68,sagibagaidu numi buru
675427,683267,unu ttu=ja sikama=ja kiranu=ti uja=nu <kanbjoo>=bagai=ndjanu=nu=kai,69,unu ttuja sikamaja kiranuti ujanu qkanbjoobagaindjanunukai
685547,688207,uja=nu <kanbjoo>=bagai=du ki buru,70,ujanu qkanbjoobagaidu ki buru
721627,724497,nda=nga kagu=nni (kaga...) kaganinu,71,ndanga kagunni kaga kaganinu
725772,728402,nda=nga kagu=nni kaganinu,72,ndanga kagunni kaganinu
734587,735617,kaganinu,73,kaganinu
738802,740032,kaganinu,74,kaganinu
749287,752157,icibugu=nni katagu nai=du buru,75,icibugunni katagu naidu buru
769799,771287,kaikirai=du buru,80,kaikiraidu buru
773187,775477,icibugu=nni kaikirai=du buru,81,icibugunni kaikiraidu buru
778332,779482,kaikirai,82,kaikirai
781112,784062,kaiki=du buru<=to=mo iu=si>,83,kaikidu buruqtomo qiusi
784117,787637,icibugu=nni kaiki=du buru=gai,84,icibugunni kaikidu burugai
799047,800177,kaikirari,85,kaikirari
801672,803312,kaiki=du buru<=ga ii>,86,kaikidu buruqga qii
808132,809452,kaiki<=made>,87,kaikiqmade
860725,862665,katagu nai=du buru,90,katagu naidu buru
896845,898865,acira nmi buta=nga,91,acira nmi butanga
901195,903125,acira nmi buta=nga,92,acira nmi butanga
908760,911030,nu=nga cici=du bun=suja,93,nunga cicidu bunsuja
915075,917545,cici<=to=ga iu kore> cici=du buru,94,ciciqtoga qiu qkore cicidu buru
919510,921390,acira nmi buta=nga,95,acira nmi butanga
982390,985210,ttunti ttun ttun,96,ttunti ttun ttun
988960,990240,<obi=ne> ttun,97,qobine ttun
990330,991930,ttun<=to=ga iu=sa=ne>,98,ttunqtoga qiusane
1003990,1004470,ttun,99,ttun
1009750,1011370,ttun<=to iu=koto=wa>,101,ttunqto qiukotowa
1014880,1016960,bu=nga ci tsun=suja,102,bunga ci tsunsuja
1019130,1022170,bu=nga ci tsun=suja,103,bunga ci tsunsuja
1026250,1027570,ci tsun=suja,104,ci tsunsuja
1030400,1032880,<kireru koto=wa> ci tsun<=to=ga>,105,qkireru qkotowa ci tsunqtoga
1045720,1046410,nmi,106,nmi
1061719,1062919,ci tsun=suja,108,ci tsunsuja
1079229,1082424,nda=bain hitaja nsa=nga=je,109,ndabain hitaja nsangaje
1085169,1085949,nda,110,nda
1086099,1090079,<anata=to iu=no=wa> nda nda=bain hiru=ba nsa=nga=je,111,qanatato qiunowa nda ndabain hiruba nsangaje
1094760,1095600,nda=bain,112,ndabain
1102980,1105560,nda=bain hiru=ba nsa=nga=je,113,ndabain hiruba nsangaje
1107010,1108010,nsa=nga=je,114,nsangaje
1121910,1124660,nda=bain hiru=ba nsata=nga=je,115,ndabain hiruba nsatangaje
1143019,1143981,kari=ja,117,karija
1147711,1152236,kari=ja <zutto> numi=du buru n kari=ja,118,karija qzutto numidu buru n karija
1154837,1155954,kari=ja,119,karija
1251219,1252380,tta,120,tta
1255348,1257445,tta numi=du buru tta,121,tta numidu buru tta
1257479,1258665,tta<=to iu=ka=na>,122,ttaqto qiukana
1259808,1261510,tta numi=du buru,123,tta numidu buru
1266980,1268320,numi=du buru,124,numidu buru
1282700,1284640,tta isi=du buru,125,tta isidu buru
