Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
28200,30000,i=ja ninditi=ja
33130,34030,hai
38100,40800,xxx
41330,43080,xxx
45065,46375,haiti=ja
47220,49080,haiti=ja ninditi=ja
64690,65740,burun
78345,82065,haitija nindi bagai=du buru<=to=ka iu=sa=ne>
82695,85135,n haitija ninditija
93785,96085,ninditi bagai=du buru
117595,119805,ki aru basu=ni
124137,125627,kkai turai
132394,135544,n ki aru basu=ni sabun kkai wari
138319,140169,kkai wari<=to>
142614,144124,sabun kkai wari
152279,153919,ti aru basu=ni=ja
155639,157429,#NAME?
168792,173362,i hatatana <sinbun>=du dumi burun
176137,177897,#NAME?
188917,192607,i hatatana <sinbin>=du dumi buru
197282,198522,i=du
202502,206132,i=du hatatana <sinbun>=du dumi buru
218917,219847,hatatana
226912,229252,i=du ujasitatana
233412,237352,i=du ujasitatana <sinbun>=du dumi waru
246312,249262,ujasitatana <sinbun>=du dumi buru
257647,260747,<sinbun> dumidatana i=du hai buru
262889,263800,#NAME?
264352,265320,#NAME?
271050,272360,i ha=tatana
276845,279615,ujasi=tatana<=to> ujasi<=ttara keego=ne>
279840,280990,ujasi wari=jo
283465,284615,dumi=datana
296820,303080,xxx
304534,310314,<sinbun> dumi bun=do<=to=iu mono=to sinbun> dumi=datana<=to iu=no=wa>
327234,331774,kkai=datana<=to iu=no=wa soo nani nani si=nagara=to iu> 
344954,346864,barai=nagara
352448,354638,barai=datana<=to warai=nagara>
360723,362933,n barai=du buru ja
365248,367618,barai=datana<=to=iu>
381833,384633,xxx
389063,391273,xxx
394988,397918,i hai=datana nu ki bun=do
405033,406703,hai=datana
407058,409348,i hai=datana<=to>
412143,413493,ha=tatana
419968,423918,xxx
448103,450233,<sinbun> dumi=datana
452628,454258,xxx
461603,463723,xxx
513967,516438,anu=ja i=du hai bu=nga
517802,519632,xxx
519667,523730,xxx
527210,528500,xxx
554085,556815,xxx
558180,560470,xxx
561145,563725,xxx
578215,580655,xxx
582125,583475,xxx
600420,601920,ti arai=ti
603110,605150,xxx
621160,628455,e unu ttu=ja sikama kiranu=ti n sagi=bagai=du numi buru
632787,634417,sikama kiranu=ti
637042,638822,sagi=bagai=du numi buru
642984,644954,sagi=bagai=du numi buru
652682,653842,sikama<=dakara>
653942,655392,sikama kiranu=ti
657877,659857,sagi=bagai=du numi buru
675427,683267,unu ttu=ja sikama=ja kiranu=ti uja=nu <kanbjoo>=bagai=ndjanu=nu=kai
685547,688207,uja=nu <kanbjoo>=bagai=du ki buru
721627,724497,nda=nga kagu=nni (kaga...) kaganinu
725772,728402,nda=nga kagu=nni kaganinu
734587,735617,kaganinu
738802,740032,kaganinu
