Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
94460,96190,ntui=du buru,4,ntuidu buru
98975,100805,ntui<=to=ga iu=ka=na>,5,ntuiqtoga qiukana
119235,120345,tumai=du buru,7,tumaidu buru
121120,122220,tumai=du buru<=da>,8,tumaidu buruqda
128610,129360,turi,9,turi
130125,131475,turi turi=ja,10,turi turija
132980,134800,buuru tumai=du buru,11,buuru tumaidu buru
149140,151750,ttuci=nu ki=nki tumai=du buru,12,ttucinu kinki tumaidu buru
153125,155735,ttuci=nu ki=nki tumai=du buru,13,ttucinu kinki tumaidu buru
157920,159110,tumai=du buru,14,tumaidu buru
181502,182632,ttumutu<=ttara>,16,ttumutuqttara
185677,186527,ttumutu,17,ttumutu
222777,224907,ki=nki=du tumai buru,19,kinkidu tumai buru
228042,230092,buuru ki=nki=du tumai buru,21,buuru kinkidu tumai buru
237757,239757,ki=nki=du tumai buru,22,kinkidu tumai buru
241937,243307,tumai buru,23,tumai buru
262662,264312,ki=nki=du tumai buru,24,kinkidu tumai buru
274727,276007,ki=nki=du,25,kinkidu
278747,281437,tui=ja buuru ki=nki=du tumai buru,26,tuija buuru kinkidu tumai buru
294212,296112,ttuci=nu ki=nki=du,27,ttucinu kinkidu
300562,301722,tumai buru,28,tumai buru
306462,309352,ttuci=nu ki=nki=du tumai buru n,29,ttucinu kinkidu tumai buru n
332350,337020,tui=ja buuru ki=nki=du tumai buru,30,tuija buuru kinkidu tumai buru
368735,372425,<are=no toki=wa> ttuci=nu ki<=to iu>,31,qareno qtokiwa ttucinu kiqto qiu
378640,381670,<ano> maasiku=nu ki=ndi aranu=ti,32,qano maasikunu kindi aranuti
385495,390005,tui=ja buuru ki=nki=du tumai buru<=to ieru=wake>,33,tuija buuru kinkidu tumai buruqto qieruwake
416075,417305,ttuci=bagai,35,ttucibagai
438160,441800,buuru ki=nki tumai buranu,36,buuru kinki tumai buranu
442810,444730,buuru ki=nki (ja),37,buuru kinki ja
455150,458180,ttuci=bagai=ja ki=nki tumai buranu,38,ttucibagaija kinki tumai buranu
458645,461245,buuru ki=nki=du tumai bu=nga,39,buuru kinkidu tumai bunga
461755,464885,ttuci=bagai=ja tumaranun,40,ttucibagaija tumaranun
473600,477170,tumai bu=nga ttuci=bagai=ja tumaranu,41,tumai bunga ttucibagaija tumaranu
482245,484275,di-naga=ni=du tumai buru,42,dinaganidu tumai buru
487705,488875,tumai buru,43,tumai buru
533459,535299,buuru tumai buranu<=ttara>,45,buuru tumai buranuqttara
577999,580849,buuru ki=nki tumai buranu,48,buuru kinki tumai buranu
620814,623304,buuru ki=nki tumai buranu,50,buuru kinki tumai buranu
630069,632329,buuru ki=nki tumai buranu,51,buuru kinki tumai buranu
754959,756789,huga=nu munu=n hanun,63,huganu munun hanun
758844,762524,i=ja hanu=nga huga=nu munu=n hanun,64,ija hanunga huganu munun hanun
773564,775224,huga=nu munu=n hanun,67,huganu munun hanun
778414,780114,huga=nu munu=n hanun,68,huganu munun hanun
801269,803879,huga=nu munu=n hanun,71,huganu munun hanun
804964,809084,i=ja hanu=nga huga=nu munu=n hanun,72,ija hanunga huganu munun hanun
812184,816704,i i=n hanu=nga huga=nu munu=n hanun,73,i in hanunga huganu munun hanun
845474,848534,i=n hanu=ti huga=nu munu=n hanu=nggai,74,in hanuti huganu munun hanunggai
857884,860594,i=ja hanu=ti huga=nu munu=n,75,ija hanuti huganu munun
868939,872689,hanu=nga i=n hanu=nga huga=nu munu=n hanun,78,hanunga in hanunga huganu munun hanun
897084,899274,kudamunu=ja hun=do<=to iu>,81,kudamunuja hundoqto qiu
1076545,1077815,turu=ja,83,turuja
1078900,1082780,turu=ja buuru ki=nki sangi=daru,84,turuja buuru kinki sangidaru
