Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
1740,2680,amadai
89890,90930,buuru
92220,93460,buuru
94460,96190,ntui=du buru
98975,100805,ntui<=to=ga iu=ka=na>
114430,115620,buuru
119235,120345,tumai=du buru
121120,122220,tumai=du buru<=da>
128610,129360,turi
130125,131475,turi turi=ja
132980,134800,buuru tumai=du buru
149140,151750,ttuci=nu ki=nki tumai=du buru
153125,155735,ttuci=nu ki=nki tumai=du buru
157920,159110,tumai=du buru
177517,180527,xxx
181502,182632,ttumutu<=ttara>
185677,186527,ttumutu
193752,195042,xxx
222777,224907,ki=nki=du tumai buru
225602,227002,buuru<=wa>
228042,230092,buuru ki=nki=du tumai buru
237757,239757,ki=nki=du tumai buru
241937,243307,tumai buru
262662,264312,ki=nki=du tumai buru
274727,276007,ki=nki=du
278747,281437,tui=ja buuru ki=nki=du tumai buru
294212,296112,ttuci=nu ki=nki=du
300562,301722,tumai buru
306462,309352,ttuci=nu ki=nki=du tumai buru n
332350,337020,tui=ja buuru ki=nki=du tumai buru
368735,372425,<are=no toki=wa> ttuci=nu ki<=to iu>
378640,381670,<ano> maasiku=nu ki=ndi aranu=ti
385495,390005,tui=ja buuru ki=nki=du tumai buru<=to ieru=wake>
409880,413030,xxx
416075,417305,ttuci=bagai
438160,441800,buuru ki=nki tumai buranu
442810,444730,buuru ki=nki (ja)
455150,458180,ttuci=bagai=ja ki=nki tumai buranu
458645,461245,buuru ki=nki=du tumai bu=nga
461755,464885,ttuci=bagai=ja tumaranun
473600,477170,tumai bu=nga ttuci=bagai=ja tumaranu
482245,484275,di-naga=ni=du tumai buru
487705,488875,tumai buru
492900,494560,xxx
533459,535299,buuru tumai buranu<=ttara>
561519,567069,xxx
572404,573654,buuru
577999,580849,buuru ki=nki tumai buranu
588834,590974,xxx
620814,623304,buuru ki=nki tumai buranu
630069,632329,buuru ki=nki tumai buranu
658879,660909,i=du hanu i
662334,664884,i=du hanun<=to ittara>
673839,675279,ii=du hanun
701539,704179,i=ja hanu=nga
704819,707159,i=du hanu=nga
709109,711079,i=du hanu=nga
711144,712784,i=ja hanu=nga
716074,719454,i=du hanu=nga<=to itta toki=wa>
722454,724414,i=ja hanu=nga
732114,733644,i=ja hanu=nga
752479,754519,i=du hanun
754959,756789,huga=nu munu=n hanun
758844,762524,i=ja hanu=nga huga=nu munu=n hanun
766684,768354,i=ja hanu=nga
769959,772589,i=ja hanun
773564,775224,huga=nu munu=n hanun
778414,780114,huga=nu munu=n hanun
789224,790344,i=du
797744,800054,i=du hanu=ti
801269,803879,huga=nu munu=n hanun
804964,809084,i=ja hanu=nga huga=nu munu=n hanun
812184,816704,i i=n hanu=nga huga=nu munu=n hanun
845474,848534,i=n hanu=ti huga=nu munu=n hanu=nggai
857884,860594,i=ja hanu=ti huga=nu munu=n
861939,863679,i=ja hanu=ti
866969,868689,i=n hanu=ti
868939,872689,hanu=nga i=n hanu=nga huga=nu munu=n hanun
891144,892744,i=ja hanu=nga
892869,894719,xxx
897084,899274,kudamunu=ja hun=do<=to iu>
1058584,1061244,xxx
1076545,1077815,turu=ja
1078900,1082780,turu=ja buuru ki=nki sangi=daru
1083500,1085330,sangi=daru<=to=ga iu=hazu>
1090675,1095395,turu=ja buuru ki=nki=du sangi aru sangi aru
1095985,1097095,sangai buru
1104840,1106040,sangai buru
1151250,1154010,ttu=ja buru taru=nu
1159400,1161410,taru=nu mai=ni<=to=ga iu>
1164880,1168500,ttu=ja buuru taru=nu maibara=nki=du ntui buru
1171925,1175295,ttu=ja buuru taru=nu maibara=nki=ba ntui buru
1180390,1181650,ttu=ja buuru
1182830,1185020,taru=nu maibara=nki=du ntui buru
1186595,1188685,maibara=nki ntui buru
1191880,1193140,maibara<=to=ga iu>
1195320,1197270,maibara=nki=du ntui buru
1216945,1219075,ttu=ja iju=du pasi buru
1219620,1221610,buuru iju=du pasi buru
1223185,1225385,buuru iju=du pasi buru
1225495,1227765,<suru koto=wo> pasu<=to=ga iu=kara=ne>
1229870,1232010,iju iju=du pasi buru
1271660,1273280,ttui=si buuru
1327110,1330830,ttui=si=du nbugu=ja buuru muti buru
1335570,1338600,xxx
1338865,1340105,nbugu
1341865,1345815,ttui=si=du nbugu buuru muti buru
1346930,1347720,nbugu
1348150,1350150,<tsuri-zao=no koto> mbugu<=dakara>
1352300,1353340,muti buru
1414310,1416020,iju=du hamjaru
1420735,1421725,ttu=nga
1424510,1429600,ttu=nga sami=nki buuru iju=du hamjaru
1437245,1438365,ttu=nga
1441445,1442445,iju
1444305,1447845,iju=du hamjaru buuru iju=du hamjaru buuru
1449945,1450655,hamjaru
1474370,1477010,xxx
1519006,1521216,xxx
1536281,1537001,sami
1537731,1541241,sami<=to=ka soo> sami=nki sami
1562116,1563106,buuru
1565781,1567351,ttu=ja buuru
1606536,1609666,cibu cibu=du muti=buru<=to=ga itte>
1617241,1618651,min-cibu
1620256,1621016,cibu
1624786,1627726,ttu=ja buuru cibu=du muti buru
1627796,1629626,cibu cibu
1636591,1638531,tubui=ti
1641831,1643291,min-cibu
1661278,1662298,cibu
1694483,1695883,min-cibu
1699893,1701353,min-cibu
