Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
41050,42380,muuru,1,muuru
269564,273194,ci=nga muibun=gara umi,12,cinga muibungara umi
273839,276279,nai mujasjaru hai=do<=to=ka>,13,nai mujasjaru haidoqtoka
282197,283217,nai,15,nai
283677,284997,mui buru,16,mui buru
299009,300726,ci=nga mui burun=gara,19,cinga mui burungara
316085,317477,nugui bun=do,23,nugui bundo
329651,331189,hai=nga nugui bun=do,24,hainga nugui bundo
371931,375032,hai=nga nugui bun=do<=ttara>,27,hainga nugui bundoqttara
461984,463272,nuudanku,30,nuudanku
464274,466369,nuudanku<=to iu koto=wa>,31,nuudankuqto qiu qkotowa
474592,476163,nuudanku,32,nuudanku
495526,496627,nuudanku,35,nuudanku
500290,501636,nuudanku,36,nuudanku
556182,558617,hai=nga tumai bun,43,hainga tumai bun
558787,560611,tubi bundi (arawasane),44,tubi bundi arawasane
563476,565600,hai=nga tubi bun=do,45,hainga tubi bundo
697174,700366,ci=nga mui bun=gara higun,56,cinga mui bungara higun
710660,711794,tundirun=do,58,tundirundo
719052,720810,higun=nga tundirun=do,59,higunnga tundirundo
763840,765474,hai=nga tubi bun=do,62,hainga tubi bundo
849843,851189,cibui<=to itte=jo>,65,cibuiqto qittejo
865809,866466,cibui,66,cibui
877619,878347,cibui,67,cibui
880788,882937,cibui<=to iu kotoba=de=jo>,68,cibuiqto qiu qkotobadejo
897197,898431,cibui kibu,69,cibui kibu
929531,930524,cibui<=to iu>,70,cibuiqto qiu
933542,933958,cibui,71,cibui
935948,936542,cibui,72,cibui
951812,952398,cibui,73,cibui
953414,954025,cibui,74,cibui
957463,958303,cibui,75,cibui
958556,959437,cibui,76,cibui
960322,961161,cibui,77,cibui
977181,979142,cibui nanku,78,cibui nanku
979968,981123,cibui<=desjoo>,79,cibuiqdesjoo
981846,984863,nanku<=to ittara kaboca=dakara kaboca>,80,nankuqto qittara qkabocadakara qkaboca
990215,991163,cibui,81,cibui
995746,996673,cibui,82,cibui
998701,999923,nanku,83,nanku
1000496,1001689,nanku,84,nanku
1006864,1008597,cibui ki bun=suja,85,cibui ki bunsuja
1011283,1012060,cibui,86,cibui
1012265,1012959,cibui,87,cibui
1030507,1033234,cibui hai busa=du an=suja,88,cibui hai busadu ansuja
1036458,1038311,cibui hai busa=du an=suja,89,cibui hai busadu ansuja
1300693,1301774,unu ttu=ja,109,unu ttuja
1403275,1404325,tugara,110,tugara
1405440,1407380,tugara,111,tugara
1408230,1409390,tugara,112,tugara
1416220,1417420,n tugara,113,n tugara
1428220,1429620,unu tugara=ja,114,unu tugaraja
1430275,1432905,unu tugara tugara,115,unu tugara tugara
1434190,1435350,tugara,116,tugara
1445080,1446470,unu tugara,117,unu tugara
1559400,1562330,ubani nangani,130,ubani nangani
1575645,1579145,nangani <nibanme=wo> nangani,132,nangani qnibanmewo nangani
1591530,1593220,ma nangani,134,ma nangani
1594665,1596115,nanganiti,135,nanganiti
1600301,1602751,<sanbanme> nanganiti,136,qsanbanme nanganiti
1717691,1718771,nangani,141,nangani
1737078,1738358,nangani,142,nangani
1740368,1741968,nangani,143,nangani
1753898,1757978,ubani nanganiti ubuati,146,ubani nanganiti ubuati
1765458,1771270,nangani<=to> nanganiti<=to iu=no=to mata betsu ichidan> ,147,nanganiqto nanganitiqto qiunoto qmata qbetsu qichidan 
1885623,1890293,<sita=dakara=ga ue=kara> ubani nangani nanganiti,155,qsitadakaraga quekara ubani nangani nanganiti
2172571,2178341,ubaiti=nga kuguru nsan=suja,180,ubaitinga kuguru nsansuja
2181416,2182996,kuguru nsan=suja,181,kuguru nsansuja
2183056,2185666,ubaiti=ja kuguru nsan=do<=to=ka>,182,ubaitija kuguru nsandoqtoka
2188061,2190731,ubaiti=ja kugur nsan=do,183,ubaitija kugur nsando
2270366,2274046,unu=du kkaiti isjaru=do<=itta>,187,unudu kkaiti isjarudoqitta
2280851,2282511,unu=du kkaiti,189,unudu kkaiti
2308651,2309211,ttara,191,ttara
2321481,2324831,ttara mjabi ttara,192,ttara mjabi ttara
2335726,2336426,ttun,193,ttun
2338496,2339236,ttun,194,ttun
2340436,2341206,ttun,195,ttun
2352371,2354341,ttun=si nmanki,196,ttunsi nmanki
2354996,2357546,ttun=si nmanki<=te iu=sa kocci=jo>,197,ttunsi nmankiqte qiusa qkoccijo
2361867,2363787,ttun=si nmankirun,198,ttunsi nmankirun
2365627,2368517,ttun si ttun,199,ttun si ttun
2373252,2375492,ttun=si nmankirun,200,ttunsi nmankirun
2376472,2379242,<kore jaru=no> nmankirun<=to iu>,201,qkore qjaruno nmankirunqto qiu
2384276,2386496,<soo soo> nmankirun<=to iuttara>,202,qsoo qsoo nmankirunqto qiuttara
2393807,2402430,ttun=si nmankirun<to koo nan site koto=wo musubu koto=wo> nmankirun<=to iu>,203,ttunsi nmankirunqto qkoo qnan qsite qkotowo qmusubu qkotowo nmankirunqto qiu
2406808,2409168,ttun=si nmankirun,204,ttunsi nmankirun
2626333,2628803,paaduja<=to=mo iru=si>,206,paadujaqtomo qirusi
2707678,2709088,paaduja,207,paaduja
2812253,2813963,paaduja<=to itte=jo>,208,paadujaqto qittejo
2815198,2816908,paaduja<=te iu=sa=ne>,209,paadujaqte qiusane
2837017,2838117,paaduja,210,paaduja
2839612,2840565,paaduja,211,paaduja
2881324,2883053,paaduja=nga tubi,212,paadujanga tubi
2883360,2884622,tubi=du buru,213,tubidu buru
2885088,2887214,paaduja=nga tubi=du buru,214,paadujanga tubidu buru
2888047,2892337,paaduja=nga paaduja=nga tubi=du buru,215,paadujanga paadujanga tubidu buru
2894850,2895799,paaduja,216,paaduja
2900934,2902237,kunu hatu=nga,217,kunu hatunga
2917910,2920357,<ano hato=ga tsutaru?> paaduja=nga,218,qano qhatoga qtsutaru paadujanga
2927285,2929722,kono paaduja<=to iu=no>,219,kono paadujaqto qiuno
2930713,2933065,paaduja=nga tubi si=ngasi=aj,220,paadujanga tubi singasiaj
2933652,2937939,nma=ja ma ttu=nga=ni itsu=ka=ni=du kiru=do<=to=ga=jo>,221,nmaja ma ttungani itsukanidu kirudoqtogajo
2940281,2942838,paaduja=nga tubi si=ngasi=ja,222,paadujanga tubi singasija
2944213,2946268,nga... ngasi=ja,223,nga ngasija
2950599,2952734,uma=ni=ja taa(nun?)=ja,224,umanija taanunja
2953811,2956533,nnirun=do<=to=ga iu=sa=ne>,225,nnirundoqtoga qiusane
2959263,2961751,paaduja=nga tubi si=ngasi=ja,226,paadujanga tubi singasija
2963547,2967404,uma=nu da=nu ttu=ja taru=ba=ni nni=du hiru=do,227,umanu danu ttuja tarubani nnidu hirudo
2968679,2970391,uma=nu da=nu ttu=ja,228,umanu danu ttuja
2972214,2972805,ttu=ja,229,ttuja
2980464,2982437,taaru=ba nni=du kiru=do<=to>,231,taaruba nnidu kirudoqto
2984252,2986489,nni=du kiru=do<ttara sinu=jo>,232,nnidu kirudoqttara qsinujo
2988381,2989354,taa=du,233,taadu
2993095,2993996,nni,234,nni
2997082,2999382,paaduja=nga tubi si=ngasi=ja,235,paadujanga tubi singasija
3000529,3002722,taaru=ba nni=du kiru=do<=to=ka>,236,taaruba nnidu kirudoqtoka
3005248,3006833,nni=du kiru=do,237,nnidu kirudo
3011798,3014053,paaduja=nga tubi si=ngasi=ja,238,paadujanga tubi singasija
3014706,3016596,taaru=ba nni=du kiru=do,239,taaruba nnidu kirudo
3037526,3039262,iti=du ki buru,242,itidu ki buru
3072738,3073962,minka,248,minka
3096622,3099118,minka=du arun=gara nun tti ssanun,249,minkadu arungara nun tti ssanun
3104353,3105429,minka,250,minka
3109315,3109920,nun,251,nun
3119661,3121033,nun tti ssanun,252,nun tti ssanun
3131790,3133440,nun tti ssanun,253,nun tti ssanun
3140274,3145619,unu ttu=ja minka=du arun=gara nun tti ssanun tti ssanun,254,unu ttuja minkadu arungara nun tti ssanun tti ssanun
3148367,3150062,nun tti ssanun,255,nun tti ssanun
3412510,3416628,unu ttu=ja dudu dudu=du an=suja <mate=jo>,260,unu ttuja dudu dududu ansuja qmatejo
3433560,3435052,(jakasa?) unu ttu=ja,264,jakasa unu ttuja
3474295,3475282,kaingu,271,kaingu
3490228,3491682,kaingu hun,272,kaingu hun
3498938,3500028,kaingu=du hu,274,kaingudu hu
3601938,3603292,kubari=du buru,275,kubaridu buru
3604915,3608572,kubariru unu ttu=tu kunu ttu=tu=ja kubari=du buru<=to iu=wa>,276,kubariru unu ttutu kunu ttutuja kubaridu buruqto qiuwa
3611463,3612759,kubari=du buru,277,kubaridu buru
3617377,3619017,kubari=du,278,kubaridu
3627530,3630094,unu ttu karu ttu=ja kubari=du buru=ndjan,279,unu ttu karu ttuja kubaridu burundjan
3633058,3634299,kubari=du buru,280,kubaridu buru
3635448,3636634,kubari=du buru,281,kubaridu buru
3641434,3642191,cira,282,cira
3644916,3645813,cira,283,cira
3647179,3648897,(cira<=de naku>) cira,284,ciraqde qnaku cira
3653813,3656058,cira=nga abjan=suja,285,ciranga abjansuja
3681300,3682301,ninbara,288,ninbara
3695086,3696695,m ninbara=nki hirun,289,m ninbaranki hirun
