Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
147524,148904,xxx
168824,170074,xxx
174852,176982,xxx
183847,187567,xxx
193277,194787,xxx
195352,197312,kanti
198322,200942,sunti kanti<=to itte>
209502,211782,sunti kanti<=to iu=wake>
220232,224402,xxx
233707,236677,<jaru koto> sunti kanti buunari<=ttara>
239982,244322,xxx
255167,256777,sunti kanti<=to>
271142,274012,sunku<ga ii=ne> sunku
277297,278397,xxx
283137,283927,nna
290202,292872,nna nna
299217,300607,nna
306587,307497,nna
312202,313972,nna sunkun
314417,315607,xxx
318752,320132,xxx
332262,333942,xxx
335972,337462,nna suntjan=do
345577,347607,nna suntjan
348042,349312,suntjan
351557,353217,nna suntjan
360167,361837,nna=du sunti buru
366872,368692,nna=du sunti buru
382572,383622,utirun
385347,386397,utirun
399262,401512,kinuha=nga utirun
408987,409977,xxx
411892,413582,xxx
413827,416447,ki=nu ha=nga uti=du buru<=to iu toki=wa> 
430747,432357,ki=nu ha=nga utirun
441152,442692,ki=nu ha=nga
446272,448722,ki=nu ha=nga uti=du buru
451607,453807,uti=du buru utirun
462797,465017,ki=nu ha=nga utjan=do
467597,468637,utjan=do
477147,478107,utjan
483015,485215,ki=nu ha=nga utjan
485765,486915,utjan
487770,489580,ki=nu ha=nga utjan
492945,493775,ki=nu ha=nga (utin)
494150,495310,utjan=do
510033,511523,ntabi munu
512283,515993,xxx
520918,522368,xxx
539223,541243,ntabi-munu=du utusjaru
544493,545703,utusjaru
548338,549428,utusjaru
559143,560023,utusjaru
568293,570133,ntabi-munu utusjan
585913,587483,ntabi-munu
593158,596628,ntabi-munu=du utusi bun
612408,617048,angamiti=nga ntabi-munu=du utusi buru
621221,624141,ntabi-munu=du utusi buru
641331,643171,ntabi-munu=du
669751,671261,ntabi-munu=du
674446,676526,utu=ndi isi buru
698576,699626,xxx
715840,718460,ntabi-munu=du utun=do
722390,724590,ntabi-munu=du utun=do
730740,731950,utun=do
755485,756445,kkurun
757975,758630,kkuru
760435,761425,kkurun<=to=ga iu>
764806,765676,kkurun
782581,784901,ntabi-munu=du kkaru
786451,787331,kkaru
805821,807901,ntabi-munu=du kkan
819201,820961,ntabi-munudu kkurun
827011,827731,kkuru
840801,842661,ntabi-munu=du kkui buru
862121,863021,muirun
882881,884701,kabi=nga mui=du buru
888851,891501,kabi=nga mui=du buru
919436,920596,kabi=nga
924376,925586,mwan=do
933521,935841,kabi=nga muiwan=do
936301,938311,kabi=nga muiwan=do
974226,976126,kabi=nga muirun=do
983479,985217,kabi=nga muirun=do
989260,991611,kabi=nga muirun=do tsa=nga
993583,995813,ki=nga tsa=nga
997665,999658,mui kun=do<=to iu>
1005510,1007447,kabi=nga muirun=do
1007815,1009639,ci=nga mui=du buru=do
1012933,1014650,ci=nga mui=du buru=do
1017327,1019423,timunu=nga mui bun=do
1024693,1026392,timunu=nga mui bun=do
1038781,1039864,sagun
1045209,1046006,sagun
1050584,1053055,kabi=du sati buru sagun
1053976,1055041,sagun
1066592,1068373,kabi=du sati buru=do (hau)
1077207,1078820,kabi=du satjan=do
1100257,1102771,kabi=ja sagan=do
1104917,1106874,kabi=ja saganun=do
1129838,1130929,xxx
1132285,1133919,xxx
1135535,1136691,xxx
1146588,1148680,xxx
1168453,1169760,dacimjan
1170590,1172037,dacimjan
1175281,1176574,maasiku
1181563,1182590,xxx
1211307,1216291,xxx
1226320,1228130,dacimi=du busa=daru
1234745,1236585,dacimi buru<=wa ieru>
1241615,1242985,xxx
1253450,1256480,xxx
1265865,1271355,nai=gara dugun=do (na) nai=gara dacimun=do<=ga iwan>
1272788,1274629,nai=gara dacimun=do
1282545,1285225,xxx
1285495,1287075,xxx
1291465,1292817,xxx
1300311,1302051,xxx
1303491,1305221,duganun=di kiru
1306386,1307396,xxx
1310601,1312421,xxx
1320971,1322361,xxx
1332806,1333876,xxx
1338001,1339611,xxx
1349006,1349856,xxx
1364591,1366021,xxx
1368346,1369656,xxx
1371521,1373211,xxx
1376846,1378386,xxx
1388426,1389226,xxx
1401696,1402646,xxx
1410581,1416891,xxx
1419724,1427534,ttuci ttaci miici duuci icici muuci nanaci daaci kugunuci tun
1427719,1429009,xxx
1430144,1431414,xxx
1432239,1434202,xxx
1439456,1440696,xxx
1448366,1449496,xxx
1457501,1458631,xxx
1461996,1463326,xxx
1474631,1478031,xxx
1480581,1482281,xxx
1492441,1493991,xxx
1498312,1500072,xxx
1514662,1518172,xxx
1525887,1527227,xxx
1536407,1537517,xxx
1546932,1547932,xxx
1550322,1551382,xxx
1559792,1560872,xxx
1562572,1563762,xxx
1570847,1574007,xxx
1574307,1576347,xxx
1578217,1580137,xxx
1591427,1593737,xxx
1611451,1613261,xxx
1619936,1621396,xxx
1655856,1657276,xxx
1659676,1661006,xxx
1662211,1664021,xxx
1669926,1671536,xxx
1678941,1680051,xxx
1687376,1690236,xxx
1693006,1694596,xxx
1706121,1707743,xxx
1712062,1713422,xxx
1726012,1727562,xxx
1762277,1763227,xxx
1763492,1764642,xxx
1766657,1768307,xxx
1770802,1772052,xxx
1776187,1777637,xxx
1791439,1795039,xxx
1799087,1806767,xxx
1814537,1815637,xxx
1826897,1828447,xxx
1837192,1838322,xxx
1843524,1844884,xxx
