Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
17320,17950,na,1,na
29925,32045,a=nga namai=ja,2,anga namaija
41079,45329,a=nga namai=ja <Yoneshiro Sueko>=ndirun=do,5,anga namaija qYoneshiro qSuekondirundo
115164,115964,cima-na,12,cimana
253312,257482,a=nga cima-na=ja isoba ndirun=do,21,anga cimanaja isoba ndirundo
261612,263382,isoba ndirun=do,22,isoba ndirundo
291407,293147,momi=gara nni,23,momigara nni
305227,306107,nni,24,nni
318797,322620,unu unu mai=ja digi bun=suja<=to=ka> mai<=to itte>,25,unu unu maija digi bunsujaqtoka maiqto qitte
334032,335062,nni,26,nni
336847,337457,nni,27,nni
344792,346772,unu mai=ja,28,unu maija
369838,372028,unu mai=ja digi bun=suja,31,unu maija digi bunsuja
395053,398743,unu mai=ja digirun=do<=tte> n digirun,32,unu maija digirundoqtte n digirun
429138,430598,unu mai=ja,35,unu maija
450993,454873,nu unu mai=ja naranu digiranun=suja,38,nu unu maija naranu digiranunsuja
475173,477043,ki=nga tagan=suja,39,kinga tagansuja
478928,480738,unu ki=ja tagan=suja,40,unu kija tagansuja
496133,497283,kutu tagan=suja,41,kutu tagansuja
501548,503538,ja unu ki=ja tagan=suja<=tte>,42,ja unu kija tagansujaqtte
513323,515533,unu ki=ja tagan=suja,44,unu kija tagansuja
515718,517808,ki=nga tagan=suja<=ttara>,45,kinga tagansujaqttara
522917,524927,unu ki=ja tagan=suja,46,unu kija tagansuja
550562,553582,haibata=nki tunkaiti hindagi,48,haibatanki tunkaiti hindagi
555312,556722,tunkaiti,49,tunkaiti
558837,560047,tunkaiti,50,tunkaiti
589820,592830,unu unu wa=ja maisan=suja,54,unu unu waja maisansuja
595605,597335,maisansuja,55,maisansuja
614250,618200,wa=du kuru=ndi si bun(=su...) wa=du kurusjaru,56,wadu kurundi si bunsu wadu kurusjaru
619775,621635,wa=du kurusjaru,57,wadu kurusjaru
624385,626975,wa=du kuru=ndi isi buru,58,wadu kurundi isi buru
633330,635640,wa=du kuru=ndi isi buru,59,wadu kurundi isi buru
661555,663115,mainkaru,60,mainkaru
667185,668645,maidu karu,61,maidu karu
694055,695405,ki=du saru,62,kidu saru
703570,705050,ki=du saru,64,kidu saru
728690,730540,ki=du sai buru<=to=ka=jo>,66,kidu sai buruqtokajo
735370,737020,ki=du sai buru=do,68,kidu sai burudo
750565,752515,maidu kai buru=do,69,maidu kai burudo
759060,761030,ki=du sai buru=do,70,kidu sai burudo
