Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
16100,17740,ndi=du kirariru,1,ndidu kirariru
22750,24520,nni=du buru,2,nnidu buru
26080,27630,nni=du buru=je,3,nnidu buruje
39715,41555,nni=du bun=su=ja,4,nnidu bunsuja
43155,44415,nni=du bun=su=ja,5,nnidu bunsuja
45025,46055,nni=du buru,6,nnidu buru
63110,64920,<terebi>=du nni buru,7,qterebidu nni buru
65510,67395,<terebi>=du nni=buru,8,qterebidu nniburu
102279,106339,unu ttu=ja nni=du bun=suja,9,unu ttuja nnidu bunsuja
111619,115470,unu angamiti=ja <terebi>=du nni bun=suja,10,unu angamitija qterebidu nni bunsuja
118110,122929,unu ttu=tu kunu ttu=tu=ja <ttangadan?>=gara nni bun=suja,11,unu ttutu kunu ttutuja qttangadangara nni bunsuja
229970,232000,nni=du buru<=to itta=desjo>,12,nnidu buruqto qittadesjo
265711,266711,nni=du buru,13,nnidu buru
