Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
125010,126850,mi=nga maisan,1,minga maisan
135390,136970,maisaru mi,2,maisaru mi
139230,140820,maisaru mi,3,maisaru mi
142525,145375,kanu ttu=nu mi=ja maisan=suja,4,kanu ttunu mija maisansuja
154320,156770,kanu ttu=nu mi=ja maisan=suja,5,kanu ttunu mija maisansuja
170945,171955,mi=ja,6,mija
173590,175370,mi=ja guman=suja,7,mija gumansuja
180110,182020,mi=ja guman=suja,8,mija gumansuja
194465,196825,mi=ja maisaminun=suja,9,mija maisaminunsuja
212395,217335,kaganun kaganun kaganun kaganun,10,kaganun kaganun kaganun kaganun
219195,221075,kaganun,11,kaganun
229223,230633,kaganun,12,kaganun
235421,236696,kaganun,13,kaganun
245364,248125,mi=ja maisaminun=suja,14,mija maisaminunsuja
252754,254986,mi=ja maisaminun=suja,15,mija maisaminunsuja
268281,271113,mi=ja maisaminun=suja,16,mija maisaminunsuja
283015,285536,mi=ja maisaminun=suja,17,mija maisaminunsuja
287059,289356,mi=ja maisaminun=suja,18,mija maisaminunsuja
296935,298916,maisaminu mi,19,maisaminu mi
308098,310075,maisaminu mi,20,maisaminu mi
326941,328781,ja maisan=suja,21,ja maisansuja
332101,334221,mi=ja maisan=suja,22,mija maisansuja
334331,336121,maisan=suja,23,maisansuja
336456,338766,mi=ja maisan=suja,24,mija maisansuja
340411,342581,mi=ja maisan=suja<=made=wa=yo?>,25,mija maisansujaqmadewayo
366106,368576,mi=nga maisagu narun=suja,26,minga maisagu narunsuja
370831,372341,narun=suja,27,narunsuja
375546,377906,mi=nga maisagu narun=suja,28,minga maisagu narunsuja
381506,385306,mi=ja mi=ja maisagu narun=suja,29,mija mija maisagu narunsuja
397666,399006,mi=nga,30,minga
400746,403126,mi=nga maisagu narun=suja,31,minga maisagu narunsuja
414476,418370,mi=nga maisatantin daidubu=do,32,minga maisatantin daidubudo
433133,435943,nsan=do daidubu=do,35,nsando daidubudo
462743,467553,maisan=suja=bain mi=ga maisan=suja,36,maisansujabain miga maisansuja
485338,487298,maisan=suja,39,maisansuja
504878,507068,u=ja maisan=nara,41,uja maisannara
508993,515073,u=ja ukangi=ju? maisarun=gara tagan=do,42,uja ukangiju maisarungara tagando
526973,528193,tagan=do,43,tagando
544323,547763,hootinki=nu munu=du an=suja,44,hootinkinu munudu ansuja
567358,568768,maisan=suja,49,maisansuja
569073,570843,maisagu an=suja,50,maisagu ansuja
611588,614708,unu da=ja maisan=suja,55,unu daja maisansuja
639788,642968,unu da=ja maisan=suja,59,unu daja maisansuja
643278,644788,maisan=suja,60,maisansuja
746944,747804,nggi,61,nggi
748844,749804,nggi<=ne>,62,nggiqne
757624,759314,utunggai=nu nggi,63,utunggainu nggi
770764,772574,nggi=nga nggi,66,ngginga nggi
773559,775549,naan=suja naan=suja,67,naansuja naansuja
787524,790054,naaru nggi=du an=suja,68,naaru nggidu ansuja
833818,835768,nggi=ja maran=suja,74,nggija maransuja
838033,839453,maran=suja,75,maransuja
861898,863578,naaminun=suja<=mo>,77,naaminunsujaqmo
912598,915628,nggi=nga naan=suja unu ttu=ja,83,ngginga naansuja unu ttuja
927963,931333,nggi=nga naarun=gara ssui=du kiru=je,85,ngginga naarungara ssuidu kiruje
938183,940123,ssui=du kiru=je,87,ssuidu kiruje
942083,943793,ssui=du kiru=je,88,ssuidu kiruje
948458,950718,nggi=nga mui bun=gara,89,ngginga mui bungara
952758,956608,mui bun=gara ssui=du kiru=je<=to=mo iu>,90,mui bungara ssuidu kirujeqtomo qiu
993058,994888,naagu nai=du kirun=suja,92,naagu naidu kirunsuja
997008,998578,nai=du kirun=suja,94,naidu kirunsuja
1051987,1056537,unu ttu=nu nggi=ja naan=suja naatantin duttu,100,unu ttunu nggija naansuja naatantin duttu
1115332,1117562,mi=ja guman=suja <m ieru=jo>,105,mija gumansuja qm qierujo
1137537,1140677,unu ttu=nu mi=ja gumasa=du an=suja<=to=wa ieru=jo>,107,unu ttunu mija gumasadu ansujaqtowa qierujo
1141597,1142537,unu ttu=nu,108,unu ttunu
1144877,1147367,unu ttu=nu mi=ja gumasan=suja,109,unu ttunu mija gumasansuja
1161557,1163867,mi=ja gumasan=suja,112,mija gumasansuja
1212647,1218637,anu=ja gumasaru mi=du duttu=du an=suja,117,anuja gumasaru midu duttudu ansuja
1246572,1248822,gumatati nai=du kiru,119,gumatati naidu kiru
1249197,1251437,gumatati nai=du kiru,120,gumatati naidu kiru
1255777,1257327,nai=du kiru<=to=ka>,121,naidu kiruqtoka
1265142,1267242,gumatati narun=suja,123,gumatati narunsuja
1348462,1350772,dama=nga taga=du an=suja,130,damanga tagadu ansuja
1351067,1353607,ja unu unu dama=ja tagan=je,131,ja unu unu damaja taganje
1353717,1356817,unu maga=ja? dinkukuti=je,132,unu magaja dinkukutije
1388542,1389772,unu ttu=ja,136,unu ttuja
1406377,1408618,unu ttu=ja dinkukuti=du a=nga=je,137,unu ttuja dinkukutidu angaje
1437412,1438642,unu ttu=ja,141,unu ttuja
1444967,1450837,unu ttu=ja dinkukuti=du a=nga=je unu ttu=ja,142,unu ttuja dinkukutidu angaje unu ttuja
1452462,1455612,unu ttu=ja dinkukuti=du a=nga=je,143,unu ttuja dinkukutidu angaje
1455757,1457287,unu ttu=ja,144,unu ttuja
1470082,1472422,unu ttu=ja dinkukuti=du a=nga=je,145,unu ttuja dinkukutidu angaje
1490882,1492502,unu ttu=ja,146,unu ttuja
1497536,1500656,unu ttu=ja tagan=suja,147,unu ttuja tagansuja
1502436,1504906,kkan=suja<=to=ka iu=wake=sa>,148,kkansujaqtoka qiuwakesa
1504921,1506271,kkan=suja,149,kkansuja
1507496,1509576,unu ttu=ja kkan=suja,150,unu ttuja kkansuja
1512356,1514126,kkan=suja<=to=ka iu=wake>,151,kkansujaqtoka qiuwake
1514931,1516031,kkan=suja,152,kkansuja
1519851,1523191,unu ttu=ja kanu ttu=kkani kkan=suja,153,unu ttuja kanu ttukkani kkansuja
1534351,1538891,kkan=suja unu dama=ja kka=d an=suja kkan=suja,154,kkansuja unu damaja kkad ansuja kkansuja
1543121,1545371,unu dama=ja kkan=suja,155,unu damaja kkansuja
1556886,1558066,kkan=suja,156,kkansuja
1572455,1573295,tagan,157,tagan
1575955,1577205,kkan=suja,158,kkansuja
1588260,1589860,kanu dama=ja,159,kanu damaja
1593070,1595990,kanu dama=ja kagan=suja,160,kanu damaja kagansuja
1599250,1600570,tagan=suja,161,tagansuja
