Begin Time - msec,End Time - msec,Yonaguni,fileno,mfa
36698,37558,cibu,1,cibu
38508,39158,cibu,2,cibu
41653,45033,cibu=du an=suja cibu jan=do ndu=nga=du,3,cibudu ansuja cibu jando ndungadu
51235,51875,ci1bu,4,cibu
52305,52995,ci1bu,5,cibu
55710,56400,ci1bu,6,cibu
66045,66665,ci1bu,7,cibu
68640,69390,ci1bu,8,cibu
79395,82275,kanu wa=ja ci1bu=du ki buru=du=ndi <onasi>,9,kanu waja cibudu ki burudundi qonasi
82475,83055,ci1bu,10,cibu
85575,87625,ci1bu=du ar=ja ci1bu,11,cibudu arja cibu
107206,109019,ci1bu ci1bu=du ar=ja,12,cibu cibudu arja
109285,109797,ci1bu,13,cibu
114140,114787,cibu,14,cibu
114886,115622,cibu,15,cibu
116702,117265,cibu,16,cibu
119994,120583,ci1bu,17,cibu
121281,121915,cibu,18,cibu
159072,162038,ci1bu=du uguri bun=do,19,cibudu uguri bundo
168536,169888,ci1bu=du ugui buru,21,cibudu ugui buru
175629,179844,ci1bu=du ugui buru=do,23,cibudu ugui burudo
185730,186800,ci1bu=du,24,cibudu
191476,192353,ci1bu=du,26,cibudu
196167,198012,ci1bu=du ugui buru=do,27,cibudu ugui burudo
213898,214545,cibu,28,cibu
214786,215894,cibu ujasi,29,cibu ujasi
219347,221263,cibu ujasi wari=jo,30,cibu ujasi warijo
221374,224667,sungati cibu=da mutu=suja ujasi wari=jo,31,sungati cibuda mutusuja ujasi warijo
224942,226421,mjagu=gara=nu,32,mjagugaranu
227872,231248,e mjagu=gara=nu cibu=darja ujasi wari=jo,33,e mjagugaranu cibudarja ujasi warijo
233913,234707,cibu=du,34,cibudu
234892,236103,cibu<=to ageru wake=sa>,35,cibuqto qageru qwakesa
236310,236977,cibu<=wa>,36,cibuqwa
277211,280702,sungati cibu=darja ujasi wari=jo,41,sungati cibudarja ujasi warijo
291360,292032,cibu,42,cibu
292400,296160,sungati cibu mutu suru=nggara ujasi wari=jo,43,sungati cibu mutu surunggara ujasi warijo
297520,299230,sungati cibu,44,sungati cibu
299795,300595,ci1bu,45,cibu
309184,309784,cibu,46,cibu
311664,313744,cibu=darja ujasi wari=jo,47,cibudarja ujasi warijo
340162,343702,ci1bu=du ci1bu=du ugui buru=do,49,cibudu cibudu ugui burudo
343802,346172,kanu wa=ja ci1bu=du ugui waru=do,50,kanu waja cibudu ugui warudo
350362,354792,kanu wa=ja cibu=du ugui buru=do cibu=du ugui buru=do,52,kanu waja cibudu ugui burudo cibudu ugui burudo
362097,363427,kanu uci=ja,53,kanu ucija
368287,369517,kanu uci=ja,54,kanu ucija
377392,378482,kanu wa=ja,55,kanu waja
380817,382867,kanu wa=ja kanu wa=ja,56,kanu waja kanu waja
396992,401582,hibida wa uci nma,60,hibida wa uci nma
474671,475760,nggi,61,nggi
477534,478789,nggi<=tte>,62,nggiqtte
480461,481178,nggi,63,nggi
483926,484816,nggi,64,nggi
485998,487958,nggi nggi<=to>,65,nggi nggiqto
496407,498489,uttunggai nggi,66,uttunggai nggi
504296,505109,uttu nggi<=ttara>,67,uttu nggiqttara
543740,544362,nggi,74,nggi
548435,551765,uttunggai=nu nggi nubasi bun=suja,76,uttunggainu nggi nubasi bunsuja
555152,555746,nggi,78,nggi
555978,557396,uttunggai nggi,79,uttunggai nggi
566700,568144,uttunggai nggi,81,uttunggai nggi
575332,579499,uttunggai nggi=nga nubi bun=suja naasan=suja<=tte ...>,82,uttunggai ngginga nubi bunsuja naasansujaqtte
587074,588323,nubi bun=suja,84,nubi bunsuja
590853,592321,nggi nggi,85,nggi nggi
631686,632361,nggi,89,nggi
634348,635552,nggi mui bun=suja,90,nggi mui bunsuja
637914,639524,nggi nggi,91,nggi nggi
644330,645346,mui bun=suja,92,mui bunsuja
655330,656626,nubi bun=suja,95,nubi bunsuja
664235,665759,mui bun=suja<=ttara>,97,mui bunsujaqttara
674898,675569,nubi,99,nubi
695942,698999,tuci=tu ar=tara utti-nggi=nga nubi bun=suja,102,tucitu artara uttingginga nubi bunsuja
709114,713212,unu angami=ja tuci=tu ar=tara utti-nggi=nga nubi bun=suja<tte iu no>,103,unu angamija tucitu artara uttingginga nubi bunsujaqtte qiu qno
719606,721721,tuci=tu ar=tara=nuti,105,tucitu artaranuti
731419,733765,tuci=tu ar=tara=nuti,106,tucitu artaranuti
769214,769829,nggi,108,nggi
776995,778534,ngi=nga mui bun=suja,109,nginga mui bunsuja
812373,812975,cira,112,cira
814341,815084,cira,113,cira
847063,849153,maa ttu-muruci ndi turasi wari=jo,115,maa ttumuruci ndi turasi warijo
867576,869268,cira=nu abjan=suja,117,ciranu abjansuja
876364,880992,kanu angami=nu cira=ja abja=nga=je abjan=suja=je,118,kanu angaminu ciraja abjangaje abjansujaje
903030,904248,abjaru cira,120,abjaru cira
907088,908280,abjaru cira,121,abjaru cira
915511,916754,abjaru cira,122,abjaru cira
918004,921940,anu ttu=ja (hutsuwa?) cira=nu abjan=suja=je,123,anu ttuja hutsuwa ciranu abjansujaje
922767,925267,abjaru cira abjaru cira,124,abjaru cira abjaru cira
961260,965811,unnaga=ja abjan=suja n nan=nga tatai=du bu=nga=je,128,unnagaja abjansuja n nannga tataidu bungaje
969971,971811,nan=nga tati bu=nga=je,129,nannga tati bungaje
975314,975981,nan,130,nan
978160,978545,nan,131,nan
979596,981762,unnaga=nu nan=nga tati=du bu=nga=je,132,unnaganu nannga tatidu bungaje
999794,1004281,nan tati=du bu=nggara unnaga=nki hi=nna=jo,133,nan tatidu bunggara unnaganki hinnajo
1006761,1008043,nan tati bun,135,nan tati bun
1049875,1053567,unnaga=nu akusento=ja angaiti=du ndu=na,140,unnaganu akusentoja angaitidu nduna
1071157,1071746,cira,141,cira
1071785,1075528,cira ndu akusento=ja angaiti=du ndu ndi buru=na,142,cira ndu akusentoja angaitidu ndu ndi buruna
1075823,1076746,ndu=na,143,nduna
1085502,1086387,cira<=ga>,144,ciraqga
1092875,1095016,kanu angami=nu cira=ja abjan=suja<=tti>,145,kanu angaminu ciraja abjansujaqtti
